Well_orderAsTracked,Treatment,Empty,Male,Plate,Family,StartTime,Notes
1,C,F,F,7,370,8/19/2019 16:05:36,
2,C,F,F,7,370,8/19/2019 16:05:36,
3,C,F,F,7,364,8/19/2019 16:05:36,
4,C,F,F,7,364,8/19/2019 16:05:36,
5,C,F,F,7,382,8/19/2019 16:05:36,
6,C,F,F,7,382,8/19/2019 16:05:36,
7,C,F,F,7,382,8/19/2019 16:05:36,
8,NA,T,NA,7,NA,8/19/2019 16:05:36,
9,HS,F,F,7,370,8/19/2019 16:05:36,
10,HS,F,F,7,370,8/19/2019 16:05:36,
11,HS,F,F,7,364,8/19/2019 16:05:36,
12,HS,F,F,7,364,8/19/2019 16:05:36,
13,HS,F,F,7,382,8/19/2019 16:05:36,
14,HS,F,F,7,382,8/19/2019 16:05:36,
15,HS,F,F,7,382,8/19/2019 16:05:36,
16,NA,T,NA,7,NA,8/19/2019 16:05:36,
17,R,F,F,7,370,8/19/2019 16:05:36,
18,R,F,F,7,370,8/19/2019 16:05:36,
19,R,F,F,7,364,8/19/2019 16:05:36,
20,R,F,F,7,364,8/19/2019 16:05:36,
21,R,F,F,7,382,8/19/2019 16:05:36,
22,R,F,F,7,382,8/19/2019 16:05:36,
23,R,F,F,7,382,8/19/2019 16:05:36,
24,C,F,F,7,370,8/19/2019 16:05:36,
25,C,F,F,7,370,8/19/2019 16:05:36,
26,C,F,F,7,364,8/19/2019 16:05:36,
27,C,F,F,7,364,8/19/2019 16:05:36,
28,C,F,F,7,382,8/19/2019 16:05:36,
29,C,F,F,7,382,8/19/2019 16:05:36,
30,NA,T,NA,7,NA,8/19/2019 16:05:36,
31,NA,T,NA,7,NA,8/19/2019 16:05:36,
32,HS,F,F,7,370,8/19/2019 16:05:36,
33,HS,F,F,7,370,8/19/2019 16:05:36,
34,HS,F,F,7,364,8/19/2019 16:05:36,
35,HS,F,F,7,364,8/19/2019 16:05:36,
36,HS,F,F,7,382,8/19/2019 16:05:36,
37,HS,T,F,7,382,8/19/2019 16:05:36,
38,NA,T,NA,7,NA,8/19/2019 16:05:36,
39,NA,T,NA,7,NA,8/19/2019 16:05:36,
40,R,F,F,7,370,8/19/2019 16:05:36,
41,R,F,F,7,370,8/19/2019 16:05:36,
42,R,F,F,7,364,8/19/2019 16:05:36,
43,R,F,F,7,364,8/19/2019 16:05:36,
44,R,F,F,7,382,8/19/2019 16:05:36,
45,R,F,F,7,382,8/19/2019 16:05:36,
46,NA,T,NA,7,NA,8/19/2019 16:05:36,
47,C,F,F,7,370,8/19/2019 16:05:36,
48,C,F,F,7,370,8/19/2019 16:05:36,
49,C,F,F,7,364,8/19/2019 16:05:36,
50,C,F,F,7,364,8/19/2019 16:05:36,
51,C,F,F,7,382,8/19/2019 16:05:36,
52,C,F,F,7,382,8/19/2019 16:05:36,
53,NA,T,NA,7,NA,8/19/2019 16:05:36,
54,NA,T,NA,7,NA,8/19/2019 16:05:36,
55,HS,F,F,7,370,8/19/2019 16:05:36,
56,HS,F,F,7,370,8/19/2019 16:05:36,
57,HS,F,F,7,364,8/19/2019 16:05:36,
58,HS,F,F,7,364,8/19/2019 16:05:36,
59,HS,F,F,7,382,8/19/2019 16:05:36,
60,HS,F,F,7,382,8/19/2019 16:05:36,
61,NA,T,NA,7,NA,8/19/2019 16:05:36,
62,NA,T,NA,7,NA,8/19/2019 16:05:36,
63,R,F,F,7,370,8/19/2019 16:05:36,
64,R,F,F,7,370,8/19/2019 16:05:36,
65,R,F,F,7,364,8/19/2019 16:05:36,
66,R,F,F,7,364,8/19/2019 16:05:36,
67,R,F,F,7,382,8/19/2019 16:05:36,
68,R,F,F,7,382,8/19/2019 16:05:36,
69,NA,T,NA,7,NA,8/19/2019 16:05:36,
70,C,F,F,7,370,8/19/2019 16:05:36,
71,C,F,F,7,370,8/19/2019 16:05:36,
72,C,F,F,7,364,8/19/2019 16:05:36,
73,C,F,F,7,364,8/19/2019 16:05:36,
74,C,F,F,7,382,8/19/2019 16:05:36,
