Well_orderAsTracked,Treatment,Empty,Male,Plate,Family,StartTime,Notes
1,C,F,F,1,385,8/14/2019 16:05:14,
2,C,F,F,1,385,8/14/2019 16:05:14,
3,C,F,F,1,372,8/14/2019 16:05:14,
4,C,F,F,1,372,8/14/2019 16:05:14,
5,C,F,F,1,378,8/14/2019 16:05:14,
6,C,F,F,1,378,8/14/2019 16:05:14,
7,NA,T,NA,1,NA,8/14/2019 16:05:14,
8,NA,T,NA,1,NA,8/14/2019 16:05:14,
9,HS,F,F,1,385,8/14/2019 16:05:14,
10,HS,F,F,1,385,8/14/2019 16:05:14,
11,HS,F,F,1,372,8/14/2019 16:05:14,
12,HS,F,F,1,372,8/14/2019 16:05:14,
13,HS,F,F,1,378,8/14/2019 16:05:14,
14,HS,F,F,1,378,8/14/2019 16:05:14,
15,NA,T,NA,1,NA,8/14/2019 16:05:14,
16,NA,T,NA,1,NA,8/14/2019 16:05:14,
17,R,F,F,1,385,8/14/2019 16:05:14,
18,R,F,F,1,385,8/14/2019 16:05:14,
19,R,F,F,1,372,8/14/2019 16:05:14,
20,R,F,F,1,372,8/14/2019 16:05:14,
21,R,F,F,1,378,8/14/2019 16:05:14,
22,R,F,F,1,378,8/14/2019 16:05:14,
23,NA,T,NA,1,NA,8/14/2019 16:05:14,
24,C,F,F,1,385,8/14/2019 16:05:14,
25,C,F,F,1,385,8/14/2019 16:05:14,
26,C,F,F,1,372,8/14/2019 16:05:14,
27,C,F,F,1,372,8/14/2019 16:05:14,
28,C,F,F,1,378,8/14/2019 16:05:14,
29,C,F,F,1,378,8/14/2019 16:05:14,
30,NA,T,NA,1,NA,8/14/2019 16:05:14,
31,NA,T,NA,1,NA,8/14/2019 16:05:14,
32,HS,F,F,1,385,8/14/2019 16:05:14,
33,HS,F,F,1,385,8/14/2019 16:05:14,
34,HS,F,F,1,372,8/14/2019 16:05:14,
35,HS,F,F,1,372,8/14/2019 16:05:14,
36,HS,F,F,1,378,8/14/2019 16:05:14,
37,HS,F,F,1,378,8/14/2019 16:05:14,
38,NA,T,NA,1,NA,8/14/2019 16:05:14,
39,NA,T,NA,1,NA,8/14/2019 16:05:14,
40,R,F,F,1,385,8/14/2019 16:05:14,
41,R,F,F,1,385,8/14/2019 16:05:14,
42,R,F,F,1,372,8/14/2019 16:05:14,
43,R,F,F,1,372,8/14/2019 16:05:14,
44,R,F,F,1,378,8/14/2019 16:05:14,
45,R,F,F,1,378,8/14/2019 16:05:14,
46,NA,T,NA,1,NA,8/14/2019 16:05:14,
47,C,F,F,1,385,8/14/2019 16:05:14,
48,C,F,F,1,385,8/14/2019 16:05:14,
49,C,F,F,1,372,8/14/2019 16:05:14,
50,C,F,F,1,372,8/14/2019 16:05:14,
51,C,F,F,1,378,8/14/2019 16:05:14,
52,C,F,F,1,378,8/14/2019 16:05:14,
53,NA,T,NA,1,NA,8/14/2019 16:05:14,
54,NA,T,NA,1,NA,8/14/2019 16:05:14,
55,HS,F,F,1,385,8/14/2019 16:05:14,
56,HS,F,F,1,385,8/14/2019 16:05:14,
57,HS,F,F,1,372,8/14/2019 16:05:14,
58,HS,F,F,1,372,8/14/2019 16:05:14,
59,HS,F,F,1,378,8/14/2019 16:05:14,
60,NA,T,NA,1,NA,8/14/2019 16:05:14,
61,NA,T,NA,1,NA,8/14/2019 16:05:14,
62,NA,T,NA,1,NA,8/14/2019 16:05:14,
63,R,F,F,1,385,8/14/2019 16:05:14,
64,R,F,F,1,385,8/14/2019 16:05:14,
65,R,F,F,1,372,8/14/2019 16:05:14,
66,R,F,F,1,372,8/14/2019 16:05:14,
67,R,F,F,1,378,8/14/2019 16:05:14,
68,NA,T,NA,1,NA,8/14/2019 16:05:14,
69,NA,T,NA,1,NA,8/14/2019 16:05:14,
70,C,F,F,1,385,8/14/2019 16:05:14,
71,C,F,F,1,385,8/14/2019 16:05:14,
72,C,F,F,1,372,8/14/2019 16:05:14,
73,C,F,F,1,372,8/14/2019 16:05:14,
74,C,F,F,1,378,8/14/2019 16:05:14,
75,NA,T,NA,1,NA,8/14/2019 16:05:14,
76,NA,T,NA,1,NA,8/14/2019 16:05:14,
77,NA,T,NA,1,NA,8/14/2019 16:05:14,
78,HS,F,F,1,385,8/14/2019 16:05:14,
79,HS,F,F,1,385,8/14/2019 16:05:14,
80,HS,F,F,1,372,8/14/2019 16:05:14,
81,HS,F,F,1,372,8/14/2019 16:05:14,
82,HS,F,F,1,378,8/14/2019 16:05:14,
83,NA,T,NA,1,NA,8/14/2019 16:05:14,
84,NA,T,NA,1,NA,8/14/2019 16:05:14,
85,NA,T,NA,1,NA,8/14/2019 16:05:14,
86,R,F,F,1,385,8/14/2019 16:05:14,
87,R,F,F,1,385,8/14/2019 16:05:14,
88,R,F,F,1,372,8/14/2019 16:05:14,
89,R,F,F,1,372,8/14/2019 16:05:14,
90,R,F,F,1,378,8/14/2019 16:05:14,
91,NA,T,NA,1,NA,8/14/2019 16:05:14,
92,NA,T,NA,1,NA,8/14/2019 16:05:14,
93,C,F,F,1,385,8/14/2019 16:05:14,
94,C,F,F,1,385,8/14/2019 16:05:14,
95,C,F,F,1,372,8/14/2019 16:05:14,
96,C,F,F,1,372,8/14/2019 16:05:14,
97,C,F,F,1,378,8/14/2019 16:05:14,
98,NA,T,NA,1,NA,8/14/2019 16:05:14,
99,NA,T,NA,1,NA,8/14/2019 16:05:14,
100,NA,T,NA,1,NA,8/14/2019 16:05:14,
101,HS,F,F,1,385,8/14/2019 16:05:14,
102,HS,F,F,1,385,8/14/2019 16:05:14,
103,HS,F,F,1,372,8/14/2019 16:05:14,
104,HS,F,F,1,372,8/14/2019 16:05:14,
105,HS,F,F,1,378,8/14/2019 16:05:14,
106,NA,T,NA,1,NA,8/14/2019 16:05:14,
107,NA,T,NA,1,NA,8/14/2019 16:05:14,
108,NA,T,NA,1,NA,8/14/2019 16:05:14,
109,R,F,F,1,385,8/14/2019 16:05:14,
110,R,F,F,1,385,8/14/2019 16:05:14,
111,R,F,F,1,372,8/14/2019 16:05:14,
112,R,F,F,1,372,8/14/2019 16:05:14,
113,R,F,F,1,378,8/14/2019 16:05:14,
114,NA,T,NA,1,NA,8/14/2019 16:05:14,
115,NA,T,NA,1,NA,8/14/2019 16:05:14,
116,R,F,F,2,368,8/14/2019 16:05:14,
117,R,F,F,2,368,8/14/2019 16:05:14,
118,R,F,F,2,366,8/14/2019 16:05:14,
119,R,F,F,2,366,8/14/2019 16:05:14,
120,R,F,F,2,374,8/14/2019 16:05:14,
121,R,F,F,2,374,8/14/2019 16:05:14,
122,NA,T,NA,2,NA,8/14/2019 16:05:14,
123,NA,T,NA,2,NA,8/14/2019 16:05:14,
124,C,F,F,2,368,8/14/2019 16:05:14,
125,C,F,F,2,368,8/14/2019 16:05:14,
126,C,F,F,2,366,8/14/2019 16:05:14,
127,C,F,F,2,366,8/14/2019 16:05:14,
128,C,F,F,2,374,8/14/2019 16:05:14,
129,C,F,F,2,374,8/14/2019 16:05:14,
130,C,T,NA,2,NA,8/14/2019 16:05:14,
131,NA,T,NA,2,NA,8/14/2019 16:05:14,
132,HS,F,F,2,368,8/14/2019 16:05:14,
133,HS,F,F,2,368,8/14/2019 16:05:14,
134,HS,F,F,2,366,8/14/2019 16:05:14,
135,HS,F,F,2,366,8/14/2019 16:05:14,
136,HS,F,F,2,374,8/14/2019 16:05:14,
137,HS,F,F,2,374,8/14/2019 16:05:14,
138,HS,T,NA,2,NA,8/14/2019 16:05:14,
139,R,F,F,2,368,8/14/2019 16:05:14,
140,R,F,F,2,368,8/14/2019 16:05:14,
141,R,F,F,2,366,8/14/2019 16:05:14,
142,R,F,F,2,366,8/14/2019 16:05:14,
143,R,F,F,2,374,8/14/2019 16:05:14,
144,R,F,F,2,374,8/14/2019 16:05:14,
145,NA,T,NA,2,NA,8/14/2019 16:05:14,
146,NA,T,NA,2,NA,8/14/2019 16:05:14,
147,C,F,F,2,368,8/14/2019 16:05:14,
148,C,F,F,2,368,8/14/2019 16:05:14,
149,C,F,F,2,366,8/14/2019 16:05:14,
150,C,F,F,2,366,8/14/2019 16:05:14,
151,C,F,F,2,374,8/14/2019 16:05:14,
152,C,F,F,2,374,8/14/2019 16:05:14,
153,NA,T,NA,2,NA,8/14/2019 16:05:14,
154,NA,T,NA,2,NA,8/14/2019 16:05:14,
155,HS,F,F,2,368,8/14/2019 16:05:14,
156,HS,F,F,2,368,8/14/2019 16:05:14,
157,HS,F,F,2,366,8/14/2019 16:05:14,
158,HS,F,F,2,366,8/14/2019 16:05:14,
159,HS,F,F,2,374,8/14/2019 16:05:14,
160,HS,F,F,2,374,8/14/2019 16:05:14,
161,NA,T,NA,2,NA,8/14/2019 16:05:14,
162,R,F,F,2,368,8/14/2019 16:05:14,
163,R,F,F,2,368,8/14/2019 16:05:14,
164,R,F,F,2,366,8/14/2019 16:05:14,
165,R,F,F,2,366,8/14/2019 16:05:14,
166,R,F,F,2,374,8/14/2019 16:05:14,
167,R,F,F,2,374,8/14/2019 16:05:14,
168,NA,T,NA,2,NA,8/14/2019 16:05:14,
169,NA,T,NA,2,NA,8/14/2019 16:05:14,
170,C,F,F,2,368,8/14/2019 16:05:14,
171,C,F,F,2,368,8/14/2019 16:05:14,
172,C,F,F,2,366,8/14/2019 16:05:14,
173,C,F,F,2,366,8/14/2019 16:05:14,
174,C,F,F,2,374,8/14/2019 16:05:14,
175,C,F,F,2,374,8/14/2019 16:05:14,
176,NA,T,NA,2,NA,8/14/2019 16:05:14,
177,NA,T,NA,2,NA,8/14/2019 16:05:14,
178,HS,F,F,2,368,8/14/2019 16:05:14,
179,HS,F,F,2,368,8/14/2019 16:05:14,
180,HS,F,F,2,366,8/14/2019 16:05:14,
181,HS,F,F,2,366,8/14/2019 16:05:14,
182,HS,F,F,2,374,8/14/2019 16:05:14,
183,HS,F,F,2,374,8/14/2019 16:05:14,
184,NA,T,NA,2,NA,8/14/2019 16:05:14,
185,R,F,F,2,368,8/14/2019 16:05:14,
186,R,F,F,2,368,8/14/2019 16:05:14,
187,R,F,F,2,366,8/14/2019 16:05:14,
188,R,F,F,2,366,8/14/2019 16:05:14,
189,R,F,F,2,374,8/14/2019 16:05:14,
190,R,F,F,2,374,8/14/2019 16:05:14,
191,NA,T,NA,2,NA,8/14/2019 16:05:14,
192,NA,T,NA,2,NA,8/14/2019 16:05:14,
193,C,F,F,2,368,8/14/2019 16:05:14,
194,C,F,F,2,368,8/14/2019 16:05:14,
195,C,F,F,2,366,8/14/2019 16:05:14,
196,C,F,F,2,366,8/14/2019 16:05:14,
197,C,F,F,2,374,8/14/2019 16:05:14,
198,C,F,F,2,374,8/14/2019 16:05:14,
199,NA,T,NA,2,NA,8/14/2019 16:05:14,
200,NA,T,NA,2,NA,8/14/2019 16:05:14,
201,HS,F,F,2,368,8/14/2019 16:05:14,
202,HS,F,F,2,368,8/14/2019 16:05:14,
203,HS,F,F,2,366,8/14/2019 16:05:14,
204,HS,F,F,2,366,8/14/2019 16:05:14,
205,HS,F,F,2,374,8/14/2019 16:05:14,
206,HS,F,F,2,374,8/14/2019 16:05:14,
207,NA,T,NA,2,NA,8/14/2019 16:05:14,
208,R,F,F,2,368,8/14/2019 16:05:14,
209,R,F,F,2,368,8/14/2019 16:05:14,
210,R,F,F,2,366,8/14/2019 16:05:14,
211,R,F,F,2,366,8/14/2019 16:05:14,
212,R,F,F,2,374,8/14/2019 16:05:14,
213,R,F,F,2,374,8/14/2019 16:05:14,
214,NA,T,NA,2,NA,8/14/2019 16:05:14,
215,NA,T,NA,2,NA,8/14/2019 16:05:14,
216,C,F,F,2,368,8/14/2019 16:05:14,
217,C,F,F,2,368,8/14/2019 16:05:14,
218,C,F,F,2,366,8/14/2019 16:05:14,
219,C,F,F,2,366,8/14/2019 16:05:14,
220,C,F,F,2,374,8/14/2019 16:05:14,
221,NA,T,NA,2,NA,8/14/2019 16:05:14,
222,NA,T,NA,2,NA,8/14/2019 16:05:14,
223,NA,T,NA,2,NA,8/14/2019 16:05:14,
224,HS,F,F,2,368,8/14/2019 16:05:14,
225,HS,F,F,2,368,8/14/2019 16:05:14,
226,HS,F,F,2,366,8/14/2019 16:05:14,
227,HS,F,F,2,366,8/14/2019 16:05:14,
228,HS,F,F,2,374,8/14/2019 16:05:14,
229,NA,T,NA,2,374,8/14/2019 16:05:14,
