Well_orderAsTracked,Treatment,Empty,Male,Plate,Family,StartTime,Notes,Row
1,C,F,T,1,219,7/13/19 16:52,,1
2,C,F,F,1,221,7/13/19 16:52,,1
3,C,T,NA,1,NA,7/13/19 16:52,,1
4,C,F,F,1,226,7/13/19 16:52,,1
5,C,F,T,1,229,7/13/19 16:52,,1
6,C,F,F,1,231,7/13/19 16:52,,1
7,C,F,T,1,234,7/13/19 16:52,,1
8,C,F,F,1,236,7/13/19 16:52,,1
9,C,F,T,1,239,7/13/19 16:52,,1
10,C,F,F,1,241,7/13/19 16:52,,1
11,C,T,NA,1,NA,7/13/19 16:52,,1
12,C,F,F,1,245,7/13/19 16:52,,1
13,C,F,T,1,248,7/13/19 16:52,,1
14,C,F,F,1,219,7/13/19 16:52,,2
15,C,F,T,1,222,7/13/19 16:52,,2
16,C,F,T,1,224,7/13/19 16:52,,2
17,C,F,T,1,227,7/13/19 16:52,,2
18,C,F,F,1,229,7/13/19 16:52,,2
19,C,F,T,1,232,7/13/19 16:52,,2
20,C,F,F,1,234,7/13/19 16:52,,2
21,C,F,T,1,237,7/13/19 16:52,,2
22,C,F,F,1,239,7/13/19 16:52,,2
23,C,F,T,1,242,7/13/19 16:52,,2
24,C,F,T,1,244,7/13/19 16:52,,2
25,C,F,T,1,246,7/13/19 16:52,,2
26,C,F,F,1,248,7/13/19 16:52,,2
27,C,F,T,1,220,7/13/19 16:52,,3
28,C,F,F,1,222,7/13/19 16:52,,3
29,C,F,F,1,224,7/13/19 16:52,,3
30,C,F,F,1,227,7/13/19 16:52,,3
31,C,F,T,1,230,7/13/19 16:52,,3
32,C,F,F,1,232,7/13/19 16:52,,3
33,C,F,T,1,235,7/13/19 16:52,,3
34,C,F,F,1,237,7/13/19 16:52,,3
35,C,F,T,1,240,7/13/19 16:52,,3
36,C,F,F,1,242,7/13/19 16:52,,3
37,C,F,F,1,244,7/13/19 16:52,,3
38,C,F,F,1,246,7/13/19 16:52,,3
39,C,F,T,1,249,7/13/19 16:52,,3
40,C,F,F,1,220,7/13/19 16:52,,4
