Well_orderAsTracked,Treatment,Empty,Male,Plate,Family,StartTime,Notes,Row
41,C,F,T,1,223,7/13/19 16:52,,4
42,C,F,T,1,226,7/13/19 16:52,,4
43,C,F,T,1,228,7/13/19 16:52,,4
44,C,F,F,1,230,7/13/19 16:52,,4
45,C,F,T,1,233,7/13/19 16:52,,4
46,C,F,F,1,235,7/13/19 16:52,,4
47,C,F,T,1,238,7/13/19 16:52,,4
48,C,F,F,1,240,7/13/19 16:52,,4
49,C,F,T,1,243,7/13/19 16:52,,4
50,C,F,T,1,245,7/13/19 16:52,,4
51,C,F,T,1,247,7/13/19 16:52,,4
52,C,F,F,1,249,7/13/19 16:52,,4
53,C,F,T,1,221,7/13/19 16:52,,5
54,C,F,F,1,223,7/13/19 16:52,,5
55,C,T,NA,1,NA,7/13/19 16:52,,5
56,C,F,F,1,228,7/13/19 16:52,,5
57,C,F,T,1,231,7/13/19 16:52,,5
58,C,F,F,1,233,7/13/19 16:52,,5
59,C,F,T,1,236,7/13/19 16:52,,5
60,C,F,F,1,238,7/13/19 16:52,,5
61,C,F,T,1,241,7/13/19 16:52,,5
62,C,F,F,1,243,7/13/19 16:52,,5
63,C,T,NA,1,NA,7/13/19 16:52,,5
64,C,F,F,1,247,7/13/19 16:52,,5
65,C,T,NA,1,NA,7/13/19 16:52,,5
66,C,F,T,2,250,7/13/19 16:52,,1
67,C,F,F,2,252,7/13/19 16:52,,1
68,C,T,NA,2,NA,7/13/19 16:52,,1
69,C,F,F,2,256,7/13/19 16:52,,1
70,C,F,T,2,259,7/13/19 16:52,,1
71,C,F,F,2,261,7/13/19 16:52,,1
72,C,F,T,2,264,7/13/19 16:52,,1
73,C,F,F,2,266,7/13/19 16:52,,1
74,C,F,T,2,269,7/13/19 16:52,,1
75,C,F,F,2,271,7/13/19 16:52,,1
76,C,T,NA,2,NA,7/13/19 16:52,,1
77,C,F,F,2,275,7/13/19 16:52,,1
78,C,F,T,2,278,7/13/19 16:52,,1
79,C,F,F,2,280,7/13/19 16:52,,1
80,C,F,F,2,250,7/13/19 16:52,,2
81,C,F,T,2,253,7/13/19 16:52,,2
82,C,F,T,2,255,7/13/19 16:52,,2
83,C,F,T,2,257,7/13/19 16:52,,2
84,C,F,F,2,259,7/13/19 16:52,,2
85,C,T,NA,2,NA,7/13/19 16:52,,2
86,C,F,F,2,264,7/13/19 16:52,,2
87,C,F,T,2,267,7/13/19 16:52,,2
88,C,F,F,2,269,7/13/19 16:52,,2
89,C,F,T,2,272,7/13/19 16:52,,2
90,C,F,T,2,274,7/13/19 16:52,,2
91,C,F,T,2,276,7/13/19 16:52,,2
92,C,F,F,2,278,7/13/19 16:52,,2
93,C,F,T,2,281,7/13/19 16:52,,2
94,C,F,T,2,251,7/13/19 16:52,,3
95,C,F,F,2,253,7/13/19 16:52,,3
96,C,F,F,2,255,7/13/19 16:52,,3
97,C,F,F,2,257,7/13/19 16:52,,3
98,C,F,T,2,260,7/13/19 16:52,,3
99,C,T,NA,2,NA,7/13/19 16:52,,3
100,C,F,T,2,265,7/13/19 16:52,,3
101,C,F,F,2,267,7/13/19 16:52,,3
102,C,F,T,2,270,7/13/19 16:52,,3
103,C,F,F,2,272,7/13/19 16:52,,3
104,C,F,F,2,274,7/13/19 16:52,,3
105,C,F,F,2,276,7/13/19 16:52,,3
106,C,F,T,2,279,7/13/19 16:52,,3
107,C,F,F,2,281,7/13/19 16:52,,3
108,C,F,F,2,251,7/13/19 16:52,,4
109,C,F,T,2,254,7/13/19 16:52,,4
110,C,F,T,2,256,7/13/19 16:52,,4
111,C,F,T,2,258,7/13/19 16:52,,4
112,C,F,F,2,260,7/13/19 16:52,,4
113,C,F,T,2,263,7/13/19 16:52,,4
114,C,F,F,2,265,7/13/19 16:52,,4
115,C,F,T,2,268,7/13/19 16:52,,4
116,C,F,F,2,270,7/13/19 16:52,,4
117,C,F,T,2,273,7/13/19 16:52,,4
118,C,F,T,2,275,7/13/19 16:52,,4
119,C,F,T,2,277,7/13/19 16:52,,4
120,C,F,F,2,279,7/13/19 16:52,,4
121,C,T,NA,2,NA,7/13/19 16:52,,4
122,C,F,T,2,252,7/13/19 16:52,,5
123,C,F,F,2,254,7/13/19 16:52,,5
124,C,F,NA,2,NA,7/13/19 16:52,,5
125,C,F,F,2,258,7/13/19 16:52,,5
126,C,F,T,2,261,7/13/19 16:52,,5
127,C,F,F,2,263,7/13/19 16:52,,5
128,C,F,T,2,266,7/13/19 16:52,,5
129,C,F,F,2,268,7/13/19 16:52,,5
130,C,F,T,2,271,7/13/19 16:52,,5
131,C,F,F,2,273,7/13/19 16:52,,5
132,C,F,NA,2,NA,7/13/19 16:52,,5
133,C,F,F,2,277,7/13/19 16:52,,5
134,C,F,T,2,280,7/13/19 16:52,,5
135,C,F,NA,2,NA,7/13/19 16:52,,5
