Well_orderAsTracked,Treatment,Empty,Male,Plate,Family,StartTime,Notes,Row
1,C,T,NA,1,NA,07/06/2019 17:09:43,,1
2,C,F,T,1,186,07/06/2019 17:09:43,,1
3,C,F,F,1,188,07/06/2019 17:09:43,,1
4,C,T,NA,1,NA,07/06/2019 17:09:43,,1
5,C,F,F,1,192,07/06/2019 17:09:43,,1
6,C,F,T,1,195,07/06/2019 17:09:43,,1
7,C,F,F,1,197,07/06/2019 17:09:43,,1
8,C,F,T,1,200,07/06/2019 17:09:43,,1
9,C,F,F,1,202,07/06/2019 17:09:43,,1
10,C,T,NA,1,NA,07/06/2019 17:09:43,,1
11,C,F,F,1,207,07/06/2019 17:09:43,,1
12,C,T,NA,1,NA,07/06/2019 17:09:43,,1
13,C,F,F,1,211,07/06/2019 17:09:43,,1
14,C,F,T,1,214,07/06/2019 17:09:43,,1
15,C,F,F,1,216,07/06/2019 17:09:43,,1
16,C,F,T,1,184,07/06/2019 17:09:43,,2
17,C,F,F,1,186,07/06/2019 17:09:43,,2
18,C,F,T,1,189,07/06/2019 17:09:43,,2
19,C,F,T,1,191,07/06/2019 17:09:43,,2
20,C,F,T,1,193,07/06/2019 17:09:43,,2
21,C,F,F,1,195,07/06/2019 17:09:43,,2
22,C,F,T,1,198,07/06/2019 17:09:43,,2
23,C,F,F,1,200,07/06/2019 17:09:43,,2
24,C,F,T,1,203,07/06/2019 17:09:43,,2
25,C,F,F,1,205,07/06/2019 17:09:43,,2
26,C,F,T,1,208,07/06/2019 17:09:43,,2
27,C,F,T,1,210,07/06/2019 17:09:43,,2
28,C,F,T,1,212,07/06/2019 17:09:43,,2
29,C,F,F,1,214,07/06/2019 17:09:43,,2
30,C,F,T,1,217,07/06/2019 17:09:43,,2
31,C,F,F,1,184,07/06/2019 17:09:43,,3
32,C,F,T,1,187,07/06/2019 17:09:43,,3
33,C,F,F,1,189,07/06/2019 17:09:43,,3
34,C,F,F,1,191,07/06/2019 17:09:43,,3
35,C,F,F,1,193,07/06/2019 17:09:43,,3
36,C,T,NA,1,NA,07/06/2019 17:09:43,,3
37,C,F,F,1,198,07/06/2019 17:09:43,,3
38,C,F,T,1,201,07/06/2019 17:09:43,,3
39,C,F,F,1,203,07/06/2019 17:09:43,,3
40,C,F,T,1,206,07/06/2019 17:09:43,,3
41,C,F,F,1,208,07/06/2019 17:09:43,,3
42,C,F,F,1,210,07/06/2019 17:09:43,,3
43,C,F,F,1,212,07/06/2019 17:09:43,,3
44,C,F,T,1,215,07/06/2019 17:09:43,,3
45,C,F,F,1,217,07/06/2019 17:09:43,,3
46,C,F,T,1,185,07/06/2019 17:09:43,,4
47,C,F,F,1,187,07/06/2019 17:09:43,,4
48,C,F,T,1,190,07/06/2019 17:09:43,,4
49,C,F,T,1,192,07/06/2019 17:09:43,,4
50,C,F,T,1,194,07/06/2019 17:09:43,,4
51,C,T,NA,1,NA,07/06/2019 17:09:43,,4
52,C,F,T,1,199,07/06/2019 17:09:43,,4
53,C,F,F,1,201,07/06/2019 17:09:43,,4
54,C,F,T,1,204,07/06/2019 17:09:43,,4
55,C,F,F,1,206,07/06/2019 17:09:43,,4
56,C,F,T,1,209,07/06/2019 17:09:43,,4
57,C,F,T,1,211,07/06/2019 17:09:43,,4
58,C,F,T,1,213,07/06/2019 17:09:43,,4
59,C,F,F,1,215,07/06/2019 17:09:43,,4
