Well_orderAsTracked,Treatment,Empty,Male,Plate,Family,StartTime,Notes
1,C,F,F,1,286,8/14/2019 16:34:45,
2,C,F,F,1,286,8/14/2019 16:34:45,
3,C,F,F,1,288,8/14/2019 16:34:45,
4,C,F,F,1,288,8/14/2019 16:34:45,
5,C,F,F,1,285,8/14/2019 16:34:45,
6,C,F,F,1,285,8/14/2019 16:34:45,
7,C,F,F,1,285,8/14/2019 16:34:45,
8,NA,T,NA,1,NA,8/14/2019 16:34:45,
9,HS,F,F,1,286,8/14/2019 16:34:45,
10,HS,F,F,1,286,8/14/2019 16:34:45,
11,HS,F,F,1,288,8/14/2019 16:34:45,
12,HS,F,F,1,288,8/14/2019 16:34:45,
13,HS,F,F,1,285,8/14/2019 16:34:45,
14,HS,F,F,1,285,8/14/2019 16:34:45,
15,HS,F,F,1,285,8/14/2019 16:34:45,
16,NA,T,NA,1,NA,8/14/2019 16:34:45,
17,R,F,F,1,286,8/14/2019 16:34:45,
18,R,F,F,1,286,8/14/2019 16:34:45,
19,R,F,F,1,288,8/14/2019 16:34:45,
20,R,F,F,1,288,8/14/2019 16:34:45,
21,R,F,F,1,285,8/14/2019 16:34:45,
22,R,F,F,1,285,8/14/2019 16:34:45,
23,R,F,F,1,285,8/14/2019 16:34:45,
24,C,F,F,1,286,8/14/2019 16:34:45,
25,C,F,F,1,286,8/14/2019 16:34:45,
26,C,F,F,1,288,8/14/2019 16:34:45,
27,C,F,F,1,288,8/14/2019 16:34:45,
28,C,F,F,1,285,8/14/2019 16:34:45,
29,C,F,F,1,285,8/14/2019 16:34:45,
30,C,F,F,1,285,8/14/2019 16:34:45,
31,NA,T,NA,1,NA,8/14/2019 16:34:45,
32,HS,F,F,1,286,8/14/2019 16:34:45,
33,HS,F,F,1,286,8/14/2019 16:34:45,
34,HS,F,F,1,288,8/14/2019 16:34:45,
35,HS,F,F,1,288,8/14/2019 16:34:45,
36,HS,F,F,1,285,8/14/2019 16:34:45,
37,HS,F,F,1,285,8/14/2019 16:34:45,
38,HS,F,F,1,285,8/14/2019 16:34:45,
39,NA,T,NA,1,NA,8/14/2019 16:34:45,
40,R,F,F,1,286,8/14/2019 16:34:45,
41,R,F,F,1,286,8/14/2019 16:34:45,
42,R,F,F,1,288,8/14/2019 16:34:45,
43,R,F,F,1,288,8/14/2019 16:34:45,
44,R,F,F,1,285,8/14/2019 16:34:45,
45,R,F,F,1,285,8/14/2019 16:34:45,
46,R,F,F,1,285,8/14/2019 16:34:45,
47,C,F,F,1,286,8/14/2019 16:34:45,
48,C,F,F,1,286,8/14/2019 16:34:45,
49,C,F,F,1,288,8/14/2019 16:34:45,
50,C,F,F,1,288,8/14/2019 16:34:45,
51,C,F,F,1,285,8/14/2019 16:34:45,
52,C,F,F,1,285,8/14/2019 16:34:45,
53,NA,T,NA,1,NA,8/14/2019 16:34:45,
54,NA,T,NA,1,NA,8/14/2019 16:34:45,
55,HS,F,F,1,286,8/14/2019 16:34:45,
56,HS,F,F,1,286,8/14/2019 16:34:45,
57,HS,F,F,1,288,8/14/2019 16:34:45,
58,HS,F,F,1,288,8/14/2019 16:34:45,
59,HS,F,F,1,285,8/14/2019 16:34:45,
60,HS,F,F,1,285,8/14/2019 16:34:45,
61,NA,T,NA,1,NA,8/14/2019 16:34:45,
62,NA,T,NA,1,NA,8/14/2019 16:34:45,
63,R,F,F,1,286,8/14/2019 16:34:45,
64,R,F,F,1,286,8/14/2019 16:34:45,
65,R,F,F,1,288,8/14/2019 16:34:45,
66,R,F,F,1,288,8/14/2019 16:34:45,
67,R,F,F,1,285,8/14/2019 16:34:45,
68,R,F,F,1,285,8/14/2019 16:34:45,
69,NA,T,NA,1,NA,8/14/2019 16:34:45,
70,C,F,F,1,286,8/14/2019 16:34:45,
71,C,F,F,1,286,8/14/2019 16:34:45,
72,C,F,F,1,288,8/14/2019 16:34:45,
73,C,F,F,1,288,8/14/2019 16:34:45,
74,C,F,F,1,285,8/14/2019 16:34:45,
75,C,F,F,1,285,8/14/2019 16:34:45,
76,NA,T,NA,1,NA,8/14/2019 16:34:45,
77,NA,T,NA,1,NA,8/14/2019 16:34:45,
78,HS,F,F,1,286,8/14/2019 16:34:45,
79,HS,F,F,1,286,8/14/2019 16:34:45,
80,HS,F,F,1,288,8/14/2019 16:34:45,
81,HS,F,F,1,288,8/14/2019 16:34:45,
82,HS,F,F,1,285,8/14/2019 16:34:45,
83,HS,F,F,1,285,8/14/2019 16:34:45,
84,NA,T,NA,1,NA,8/14/2019 16:34:45,
85,NA,T,NA,1,NA,8/14/2019 16:34:45,
86,R,F,F,1,286,8/14/2019 16:34:45,
87,R,F,F,1,286,8/14/2019 16:34:45,
88,R,F,F,1,288,8/14/2019 16:34:45,
89,R,F,F,1,288,8/14/2019 16:34:45,
90,R,F,F,1,285,8/14/2019 16:34:45,
91,R,F,F,1,285,8/14/2019 16:34:45,
92,NA,T,NA,1,NA,8/14/2019 16:34:45,
93,C,F,F,1,286,8/14/2019 16:34:45,
94,C,F,F,1,286,8/14/2019 16:34:45,
95,C,F,F,1,288,8/14/2019 16:34:45,
96,C,F,F,1,288,8/14/2019 16:34:45,
97,C,F,F,1,285,8/14/2019 16:34:45,
98,C,F,F,1,285,8/14/2019 16:34:45,
99,NA,T,NA,1,NA,8/14/2019 16:34:45,
100,NA,T,NA,1,NA,8/14/2019 16:34:45,
101,HS,F,F,1,286,8/14/2019 16:34:45,
102,HS,F,F,1,286,8/14/2019 16:34:45,
103,HS,F,F,1,288,8/14/2019 16:34:45,
104,HS,F,F,1,288,8/14/2019 16:34:45,
105,HS,F,F,1,285,8/14/2019 16:34:45,
106,HS,F,F,1,285,8/14/2019 16:34:45,
107,NA,T,NA,1,NA,8/14/2019 16:34:45,
108,NA,T,NA,1,NA,8/14/2019 16:34:45,
109,R,F,F,1,286,8/14/2019 16:34:45,
110,R,F,F,1,286,8/14/2019 16:34:45,
111,R,F,F,1,288,8/14/2019 16:34:45,
112,R,F,F,1,288,8/14/2019 16:34:45,
113,R,F,F,1,285,8/14/2019 16:34:45,
114,NA,T,NA,1,NA,8/14/2019 16:34:45,
115,NA,T,NA,1,NA,8/14/2019 16:34:45,
116,R,F,F,2,342,8/14/2019 16:34:45,
117,R,F,F,2,342,8/14/2019 16:34:45,
118,R,F,F,2,289,8/14/2019 16:34:45,
119,R,F,F,2,289,8/14/2019 16:34:45,
120,R,F,F,2,284,8/14/2019 16:34:45,
121,R,F,F,2,284,8/14/2019 16:34:45,
122,NA,T,NA,2,NA,8/14/2019 16:34:45,
123,NA,T,NA,2,NA,8/14/2019 16:34:45,
124,C,F,F,2,342,8/14/2019 16:34:45,
125,C,F,F,2,342,8/14/2019 16:34:45,
126,C,F,F,2,289,8/14/2019 16:34:45,
127,C,F,F,2,289,8/14/2019 16:34:45,
128,C,F,F,2,284,8/14/2019 16:34:45,
129,C,F,F,2,284,8/14/2019 16:34:45,
130,C,T,NA,2,NA,8/14/2019 16:34:45,
131,NA,T,NA,2,NA,8/14/2019 16:34:45,
132,HS,F,F,2,342,8/14/2019 16:34:45,
133,HS,F,F,2,342,8/14/2019 16:34:45,
134,HS,F,F,2,289,8/14/2019 16:34:45,
135,HS,F,F,2,289,8/14/2019 16:34:45,
136,HS,F,F,2,284,8/14/2019 16:34:45,
137,HS,F,F,2,284,8/14/2019 16:34:45,
138,HS,T,NA,2,NA,8/14/2019 16:34:45,
139,R,F,F,2,342,8/14/2019 16:34:45,
140,R,F,F,2,342,8/14/2019 16:34:45,
141,R,F,F,2,289,8/14/2019 16:34:45,
142,R,F,F,2,289,8/14/2019 16:34:45,
143,R,F,F,2,284,8/14/2019 16:34:45,
144,R,F,F,2,284,8/14/2019 16:34:45,
145,NA,T,NA,2,NA,8/14/2019 16:34:45,
146,NA,T,NA,2,NA,8/14/2019 16:34:45,
147,C,F,F,2,342,8/14/2019 16:34:45,
148,C,F,F,2,342,8/14/2019 16:34:45,
149,C,F,F,2,289,8/14/2019 16:34:45,
150,C,F,F,2,289,8/14/2019 16:34:45,
151,C,F,F,2,284,8/14/2019 16:34:45,
152,C,F,F,2,284,8/14/2019 16:34:45,
153,NA,T,NA,2,NA,8/14/2019 16:34:45,
154,NA,T,NA,2,NA,8/14/2019 16:34:45,
155,HS,F,F,2,342,8/14/2019 16:34:45,
156,HS,F,F,2,342,8/14/2019 16:34:45,
157,HS,F,F,2,289,8/14/2019 16:34:45,
158,HS,F,F,2,289,8/14/2019 16:34:45,
159,HS,F,F,2,284,8/14/2019 16:34:45,
160,HS,F,F,2,284,8/14/2019 16:34:45,
161,NA,T,NA,2,NA,8/14/2019 16:34:45,
162,R,F,F,2,342,8/14/2019 16:34:45,
163,R,F,F,2,342,8/14/2019 16:34:45,
164,R,F,F,2,289,8/14/2019 16:34:45,
165,R,F,F,2,289,8/14/2019 16:34:45,
166,R,F,F,2,284,8/14/2019 16:34:45,
167,R,F,F,2,284,8/14/2019 16:34:45,
168,NA,T,NA,2,NA,8/14/2019 16:34:45,
169,NA,T,NA,2,NA,8/14/2019 16:34:45,
170,C,F,F,2,342,8/14/2019 16:34:45,
171,C,F,F,2,342,8/14/2019 16:34:45,
172,C,F,F,2,289,8/14/2019 16:34:45,
173,C,F,F,2,289,8/14/2019 16:34:45,
174,C,F,F,2,284,8/14/2019 16:34:45,
175,C,F,F,2,284,8/14/2019 16:34:45,
176,NA,T,NA,2,NA,8/14/2019 16:34:45,
177,NA,T,NA,2,NA,8/14/2019 16:34:45,
178,HS,F,F,2,342,8/14/2019 16:34:45,
179,HS,F,F,2,342,8/14/2019 16:34:45,
180,HS,F,F,2,289,8/14/2019 16:34:45,
181,HS,F,F,2,289,8/14/2019 16:34:45,
182,HS,F,F,2,284,8/14/2019 16:34:45,
183,HS,F,F,2,284,8/14/2019 16:34:45,
184,NA,T,NA,2,NA,8/14/2019 16:34:45,
185,R,F,F,2,342,8/14/2019 16:34:45,
186,R,F,F,2,342,8/14/2019 16:34:45,
187,R,F,F,2,289,8/14/2019 16:34:45,
188,R,F,F,2,289,8/14/2019 16:34:45,
189,R,F,F,2,284,8/14/2019 16:34:45,
190,R,F,F,2,284,8/14/2019 16:34:45,
191,NA,T,NA,2,NA,8/14/2019 16:34:45,
192,NA,T,NA,2,NA,8/14/2019 16:34:45,
193,C,F,F,2,342,8/14/2019 16:34:45,
194,C,F,F,2,342,8/14/2019 16:34:45,
195,C,F,F,2,289,8/14/2019 16:34:45,
196,C,F,F,2,289,8/14/2019 16:34:45,
197,C,F,F,2,284,8/14/2019 16:34:45,
198,C,F,F,2,284,8/14/2019 16:34:45,
199,NA,T,NA,2,NA,8/14/2019 16:34:45,
200,NA,T,NA,2,NA,8/14/2019 16:34:45,
201,HS,F,F,2,342,8/14/2019 16:34:45,
202,HS,F,F,2,342,8/14/2019 16:34:45,
203,HS,F,F,2,289,8/14/2019 16:34:45,
204,HS,F,F,2,289,8/14/2019 16:34:45,
205,HS,F,F,2,284,8/14/2019 16:34:45,
206,HS,F,F,2,284,8/14/2019 16:34:45,
207,NA,T,NA,2,NA,8/14/2019 16:34:45,
208,R,F,F,2,342,8/14/2019 16:34:45,
209,R,F,F,2,342,8/14/2019 16:34:45,
210,R,F,F,2,289,8/14/2019 16:34:45,
211,R,F,F,2,289,8/14/2019 16:34:45,
212,R,F,F,2,284,8/14/2019 16:34:45,
213,R,F,F,2,284,8/14/2019 16:34:45,
214,NA,T,NA,2,NA,8/14/2019 16:34:45,
215,NA,T,NA,2,NA,8/14/2019 16:34:45,
216,C,F,F,2,342,8/14/2019 16:34:45,
217,C,F,F,2,342,8/14/2019 16:34:45,
218,C,F,F,2,289,8/14/2019 16:34:45,
219,C,F,F,2,289,8/14/2019 16:34:45,
220,C,F,F,2,284,8/14/2019 16:34:45,
221,C,F,F,2,284,8/14/2019 16:34:45,
222,NA,T,NA,2,NA,8/14/2019 16:34:45,
223,NA,T,NA,2,NA,8/14/2019 16:34:45,
224,HS,F,F,2,342,8/14/2019 16:34:45,
225,HS,F,F,2,342,8/14/2019 16:34:45,
226,HS,F,F,2,289,8/14/2019 16:34:45,
227,HS,F,F,2,289,8/14/2019 16:34:45,
228,HS,F,F,2,284,8/14/2019 16:34:45,
229,HS,F,F,2,284,8/14/2019 16:34:45,
230,NA,T,NA,2,NA,8/14/2019 16:34:45,
231,HS,F,F,3,296,8/14/2019 16:34:45,
232,HS,F,F,3,296,8/14/2019 16:34:45,
233,HS,F,F,3,315,8/14/2019 16:34:45,
234,HS,F,F,3,315,8/14/2019 16:34:45,
235,HS,F,F,3,308,8/14/2019 16:34:45,
236,HS,F,F,3,308,8/14/2019 16:34:45,
237,NA,T,NA,3,NA,8/14/2019 16:34:45,
238,NA,T,NA,3,NA,8/14/2019 16:34:45,
239,R,F,F,3,296,8/14/2019 16:34:45,
240,R,F,F,3,296,8/14/2019 16:34:45,
241,R,F,F,3,315,8/14/2019 16:34:45,
242,R,F,F,3,315,8/14/2019 16:34:45,
243,R,F,F,3,308,8/14/2019 16:34:45,
244,R,F,F,3,308,8/14/2019 16:34:45,
245,NA,T,NA,3,NA,8/14/2019 16:34:45,
246,NA,T,NA,3,NA,8/14/2019 16:34:45,
247,C,F,F,3,296,8/14/2019 16:34:45,
248,C,F,F,3,296,8/14/2019 16:34:45,
249,C,F,F,3,315,8/14/2019 16:34:45,
250,C,F,F,3,315,8/14/2019 16:34:45,
251,C,F,F,3,308,8/14/2019 16:34:45,
252,C,F,F,3,308,8/14/2019 16:34:45,
253,NA,T,NA,3,NA,8/14/2019 16:34:45,
254,HS,F,F,3,296,8/14/2019 16:34:45,
255,HS,F,F,3,296,8/14/2019 16:34:45,
256,HS,F,F,3,315,8/14/2019 16:34:45,
257,HS,F,F,3,315,8/14/2019 16:34:45,
258,HS,F,F,3,308,8/14/2019 16:34:45,
259,HS,F,F,3,308,8/14/2019 16:34:45,
260,NA,T,NA,3,NA,8/14/2019 16:34:45,
261,NA,T,NA,3,NA,8/14/2019 16:34:45,
262,R,F,F,3,296,8/14/2019 16:34:45,
263,R,F,F,3,296,8/14/2019 16:34:45,
264,R,F,F,3,315,8/14/2019 16:34:45,
265,R,F,F,3,315,8/14/2019 16:34:45,
266,R,F,F,3,308,8/14/2019 16:34:45,
267,R,F,F,3,308,8/14/2019 16:34:45,
268,NA,T,NA,3,NA,8/14/2019 16:34:45,
269,NA,T,NA,3,NA,8/14/2019 16:34:45,
270,C,F,F,3,296,8/14/2019 16:34:45,
271,C,F,F,3,296,8/14/2019 16:34:45,
272,C,F,F,3,315,8/14/2019 16:34:45,
273,C,F,F,3,315,8/14/2019 16:34:45,
274,C,F,F,3,308,8/14/2019 16:34:45,
275,C,F,F,3,308,8/14/2019 16:34:45,
276,NA,T,NA,3,NA,8/14/2019 16:34:45,
277,HS,F,F,3,296,8/14/2019 16:34:45,
278,HS,F,F,3,296,8/14/2019 16:34:45,
279,HS,F,F,3,315,8/14/2019 16:34:45,
280,HS,F,F,3,315,8/14/2019 16:34:45,
281,HS,F,F,3,308,8/14/2019 16:34:45,
282,HS,F,F,3,308,8/14/2019 16:34:45,
283,NA,T,NA,3,NA,8/14/2019 16:34:45,
284,NA,T,NA,3,NA,8/14/2019 16:34:45,
285,R,F,F,3,296,8/14/2019 16:34:45,
286,R,F,F,3,296,8/14/2019 16:34:45,
287,R,F,F,3,315,8/14/2019 16:34:45,
288,R,F,F,3,315,8/14/2019 16:34:45,
289,R,F,F,3,308,8/14/2019 16:34:45,
290,R,F,F,3,308,8/14/2019 16:34:45,
291,NA,T,NA,3,NA,8/14/2019 16:34:45,
292,NA,T,NA,3,NA,8/14/2019 16:34:45,
293,C,F,F,3,296,8/14/2019 16:34:45,
294,C,F,F,3,296,8/14/2019 16:34:45,
295,C,F,F,3,315,8/14/2019 16:34:45,
296,C,F,F,3,315,8/14/2019 16:34:45,
297,C,F,F,3,308,8/14/2019 16:34:45,
298,C,F,F,3,308,8/14/2019 16:34:45,
299,NA,T,NA,3,NA,8/14/2019 16:34:45,
300,HS,F,F,3,296,8/14/2019 16:34:45,
301,HS,F,F,3,296,8/14/2019 16:34:45,
302,HS,F,F,3,315,8/14/2019 16:34:45,
