Well_orderAsTracked,Treatment,Empty,Male,Plate,Family,StartTime,Notes
1,C,F,F,7,340,8/14/2019 16:35:39,
2,C,F,F,7,340,8/14/2019 16:35:39,
3,C,F,F,7,329,8/14/2019 16:35:39,
4,C,F,F,7,329,8/14/2019 16:35:39,
5,C,F,F,7,317,8/14/2019 16:35:39,
6,C,F,F,7,317,8/14/2019 16:35:39,
7,NA,T,NA,7,NA,8/14/2019 16:35:39,
8,NA,T,NA,7,NA,8/14/2019 16:35:39,
9,HS,F,F,7,340,8/14/2019 16:35:39,
10,HS,F,F,7,340,8/14/2019 16:35:39,
11,HS,F,F,7,329,8/14/2019 16:35:39,
12,HS,F,F,7,329,8/14/2019 16:35:39,
13,HS,F,F,7,317,8/14/2019 16:35:39,
14,HS,F,F,7,317,8/14/2019 16:35:39,
15,NA,T,NA,7,NA,8/14/2019 16:35:39,
16,NA,T,NA,7,NA,8/14/2019 16:35:39,
17,R,F,F,7,340,8/14/2019 16:35:39,
18,R,F,F,7,340,8/14/2019 16:35:39,
19,R,F,F,7,329,8/14/2019 16:35:39,
20,R,F,F,7,329,8/14/2019 16:35:39,
21,R,F,F,7,317,8/14/2019 16:35:39,
22,R,F,F,7,317,8/14/2019 16:35:39,
23,NA,T,NA,7,NA,8/14/2019 16:35:39,
24,C,F,F,7,340,8/14/2019 16:35:39,
25,C,F,F,7,340,8/14/2019 16:35:39,
26,C,F,F,7,329,8/14/2019 16:35:39,
27,C,F,F,7,329,8/14/2019 16:35:39,
28,C,F,F,7,317,8/14/2019 16:35:39,
29,C,F,F,7,317,8/14/2019 16:35:39,
30,NA,T,NA,7,NA,8/14/2019 16:35:39,
31,NA,T,NA,7,NA,8/14/2019 16:35:39,
32,HS,F,F,7,340,8/14/2019 16:35:39,
33,HS,F,F,7,340,8/14/2019 16:35:39,
34,HS,F,F,7,329,8/14/2019 16:35:39,
35,HS,F,F,7,329,8/14/2019 16:35:39,
36,HS,F,F,7,317,8/14/2019 16:35:39,
37,HS,T,F,7,317,8/14/2019 16:35:39,
38,NA,T,NA,7,NA,8/14/2019 16:35:39,
39,NA,T,NA,7,NA,8/14/2019 16:35:39,
40,R,F,F,7,340,8/14/2019 16:35:39,
41,R,F,F,7,340,8/14/2019 16:35:39,
42,R,F,F,7,329,8/14/2019 16:35:39,
43,R,F,F,7,329,8/14/2019 16:35:39,
44,R,F,F,7,317,8/14/2019 16:35:39,
45,R,F,F,7,317,8/14/2019 16:35:39,
46,NA,T,NA,7,NA,8/14/2019 16:35:39,
47,C,F,F,7,340,8/14/2019 16:35:39,
48,C,F,F,7,340,8/14/2019 16:35:39,
49,C,F,F,7,329,8/14/2019 16:35:39,
50,C,F,F,7,329,8/14/2019 16:35:39,
51,C,F,F,7,317,8/14/2019 16:35:39,
52,C,F,F,7,317,8/14/2019 16:35:39,
53,NA,T,NA,7,NA,8/14/2019 16:35:39,
54,NA,T,NA,7,NA,8/14/2019 16:35:39,
55,HS,F,F,7,340,8/14/2019 16:35:39,
56,HS,F,F,7,340,8/14/2019 16:35:39,
57,HS,F,F,7,329,8/14/2019 16:35:39,
58,HS,F,F,7,329,8/14/2019 16:35:39,
59,HS,F,F,7,317,8/14/2019 16:35:39,
60,HS,F,F,7,317,8/14/2019 16:35:39,
61,NA,T,NA,7,NA,8/14/2019 16:35:39,
62,NA,T,NA,7,NA,8/14/2019 16:35:39,
63,R,F,F,7,340,8/14/2019 16:35:39,
64,R,F,F,7,340,8/14/2019 16:35:39,
65,R,F,F,7,329,8/14/2019 16:35:39,
