Well_orderAsTracked,Treatment,Empty,Male,Plate,Family,StartTime,Notes
1,C,F,F,1,220,7/27/2019 16:29:18,
2,C,F,F,1,220,7/27/2019 16:29:18,
3,C,F,F,1,233,7/27/2019 16:29:18,
4,C,F,F,1,233,7/27/2019 16:29:18,
5,C,F,F,1,281,7/27/2019 16:29:18,
6,C,F,F,1,281,7/27/2019 16:29:18,
7,C,F,F,1,281,7/27/2019 16:29:18,
8,NA,T,NA,1,NA,7/27/2019 16:29:18,
9,HS,F,F,1,220,7/27/2019 16:29:18,
10,HS,F,F,1,220,7/27/2019 16:29:18,
11,HS,F,F,1,233,7/27/2019 16:29:18,
12,HS,F,F,1,233,7/27/2019 16:29:18,
13,HS,F,F,1,281,7/27/2019 16:29:18,
14,HS,F,F,1,281,7/27/2019 16:29:18,
15,HS,F,F,1,281,7/27/2019 16:29:18,
16,NA,T,NA,1,NA,7/27/2019 16:29:18,
17,R,F,F,1,220,7/27/2019 16:29:18,
18,R,F,F,1,220,7/27/2019 16:29:18,
19,R,F,F,1,233,7/27/2019 16:29:18,
20,R,F,F,1,233,7/27/2019 16:29:18,
21,R,F,F,1,281,7/27/2019 16:29:18,
22,R,F,F,1,281,7/27/2019 16:29:18,
23,R,F,F,1,281,7/27/2019 16:29:18,
24,C,F,F,1,220,7/27/2019 16:29:18,
25,C,F,F,1,220,7/27/2019 16:29:18,
26,C,F,F,1,233,7/27/2019 16:29:18,
27,C,F,F,1,233,7/27/2019 16:29:18,
28,C,F,F,1,281,7/27/2019 16:29:18,
29,C,F,F,1,281,7/27/2019 16:29:18,
30,C,F,F,1,281,7/27/2019 16:29:18,
31,NA,T,NA,1,NA,7/27/2019 16:29:18,
32,HS,F,F,1,220,7/27/2019 16:29:18,
33,HS,F,F,1,220,7/27/2019 16:29:18,
34,HS,F,F,1,233,7/27/2019 16:29:18,
35,HS,F,F,1,233,7/27/2019 16:29:18,
36,HS,F,F,1,281,7/27/2019 16:29:18,
37,HS,F,F,1,281,7/27/2019 16:29:18,
38,NA,F,F,1,281,7/27/2019 16:29:18,
39,NA,T,NA,1,NA,7/27/2019 16:29:18,
40,R,F,F,1,220,7/27/2019 16:29:18,
41,R,F,F,1,220,7/27/2019 16:29:18,
42,R,F,F,1,233,7/27/2019 16:29:18,
43,R,F,F,1,233,7/27/2019 16:29:18,
44,R,F,F,1,281,7/27/2019 16:29:18,
45,R,F,F,1,281,7/27/2019 16:29:18,
46,R,F,F,1,281,7/27/2019 16:29:18,
47,C,F,F,1,220,7/27/2019 16:29:18,
48,C,F,F,1,220,7/27/2019 16:29:18,
49,C,F,F,1,233,7/27/2019 16:29:18,
50,C,F,F,1,233,7/27/2019 16:29:18,
51,C,F,F,1,281,7/27/2019 16:29:18,
52,C,F,F,1,281,7/27/2019 16:29:18,
53,NA,T,NA,1,NA,7/27/2019 16:29:18,
54,NA,T,NA,1,NA,7/27/2019 16:29:18,
55,HS,F,F,1,220,7/27/2019 16:29:18,
56,HS,F,F,1,220,7/27/2019 16:29:18,
57,HS,F,F,1,233,7/27/2019 16:29:18,
58,HS,F,F,1,233,7/27/2019 16:29:18,
59,HS,F,F,1,281,7/27/2019 16:29:18,
60,HS,F,F,1,281,7/27/2019 16:29:18,
61,NA,T,NA,1,NA,7/27/2019 16:29:18,
62,NA,T,NA,1,NA,7/27/2019 16:29:18,
63,R,F,F,1,220,7/27/2019 16:29:18,
64,R,F,F,1,220,7/27/2019 16:29:18,
65,R,F,F,1,233,7/27/2019 16:29:18,
66,R,F,F,1,233,7/27/2019 16:29:18,
67,R,F,F,1,281,7/27/2019 16:29:18,
68,R,F,F,1,281,7/27/2019 16:29:18,
69,NA,T,NA,1,NA,7/27/2019 16:29:18,
70,C,F,F,1,220,7/27/2019 16:29:18,
71,C,F,F,1,220,7/27/2019 16:29:18,
72,C,F,F,1,233,7/27/2019 16:29:18,
73,C,F,F,1,233,7/27/2019 16:29:18,
74,C,F,F,1,281,7/27/2019 16:29:18,
75,C,F,F,1,281,7/27/2019 16:29:18,
76,NA,T,NA,1,NA,7/27/2019 16:29:18,
77,NA,T,NA,1,NA,7/27/2019 16:29:18,
78,HS,F,F,1,220,7/27/2019 16:29:18,
79,HS,F,F,1,220,7/27/2019 16:29:18,
80,HS,F,F,1,233,7/27/2019 16:29:18,
81,HS,F,F,1,233,7/27/2019 16:29:18,
82,HS,F,F,1,281,7/27/2019 16:29:18,
83,HS,F,F,1,281,7/27/2019 16:29:18,
84,NA,T,NA,1,NA,7/27/2019 16:29:18,
85,NA,T,NA,1,NA,7/27/2019 16:29:18,
86,R,F,F,1,220,7/27/2019 16:29:18,
87,R,F,F,1,220,7/27/2019 16:29:18,
88,R,F,F,1,233,7/27/2019 16:29:18,
89,R,F,F,1,233,7/27/2019 16:29:18,
90,R,F,F,1,281,7/27/2019 16:29:18,
91,R,F,F,1,281,7/27/2019 16:29:18,
