Well_orderAsTracked,Treatment,Empty,Male,Plate,Family,StartTime,Notes
1,C,F,F,7,253,7/27/2019 16:30:08,
2,NA,T,NA,7,NA,7/27/2019 16:30:08,
3,C,F,F,7,259,7/27/2019 16:30:08,
4,C,F,F,7,259,7/27/2019 16:30:08,
5,C,F,F,7,236,7/27/2019 16:30:08,
6,C,F,F,7,236,7/27/2019 16:30:08,
7,NA,T,NA,7,NA,7/27/2019 16:30:08,
8,NA,T,NA,7,NA,7/27/2019 16:30:08,
9,HS,F,F,7,253,7/27/2019 16:30:08,
10,HS,F,F,7,253,7/27/2019 16:30:08,
11,HS,F,F,7,259,7/27/2019 16:30:08,
12,HS,F,F,7,259,7/27/2019 16:30:08,
13,HS,F,F,7,236,7/27/2019 16:30:08,
14,HS,F,F,7,236,7/27/2019 16:30:08,
15,NA,T,NA,7,NA,7/27/2019 16:30:08,
16,NA,T,NA,7,NA,7/27/2019 16:30:08,
17,R,F,F,7,253,7/27/2019 16:30:08,
18,R,F,F,7,253,7/27/2019 16:30:08,
19,R,F,F,7,259,7/27/2019 16:30:08,
20,R,F,F,7,259,7/27/2019 16:30:08,
21,R,F,F,7,236,7/27/2019 16:30:08,
22,R,F,F,7,236,7/27/2019 16:30:08,
23,NA,T,NA,7,NA,7/27/2019 16:30:08,
24,C,F,F,7,253,7/27/2019 16:30:08,
25,C,F,F,7,253,7/27/2019 16:30:08,
26,C,F,F,7,259,7/27/2019 16:30:08,
27,C,F,F,7,259,7/27/2019 16:30:08,
28,C,F,F,7,236,7/27/2019 16:30:08,
29,C,F,F,7,236,7/27/2019 16:30:08,
30,NA,T,NA,7,NA,7/27/2019 16:30:08,
31,NA,T,NA,7,NA,7/27/2019 16:30:08,
32,HS,F,F,7,253,7/27/2019 16:30:08,
33,HS,F,F,7,253,7/27/2019 16:30:08,
34,HS,F,F,7,259,7/27/2019 16:30:08,
35,HS,F,F,7,259,7/27/2019 16:30:08,
36,HS,F,F,7,236,7/27/2019 16:30:08,
37,HS,T,F,7,236,7/27/2019 16:30:08,
38,NA,T,NA,7,NA,7/27/2019 16:30:08,
39,NA,T,NA,7,NA,7/27/2019 16:30:08,
40,R,F,F,7,253,7/27/2019 16:30:08,
41,R,F,F,7,253,7/27/2019 16:30:08,
42,R,F,F,7,259,7/27/2019 16:30:08,
43,R,F,F,7,259,7/27/2019 16:30:08,
44,R,F,F,7,236,7/27/2019 16:30:08,
45,R,F,F,7,236,7/27/2019 16:30:08,
46,NA,T,NA,7,NA,7/27/2019 16:30:08,
47,C,F,F,7,253,7/27/2019 16:30:08,
48,C,F,F,7,253,7/27/2019 16:30:08,
49,C,F,F,7,259,7/27/2019 16:30:08,
50,C,F,F,7,259,7/27/2019 16:30:08,
51,C,F,F,7,236,7/27/2019 16:30:08,
52,C,F,F,7,236,7/27/2019 16:30:08,
53,NA,T,NA,7,NA,7/27/2019 16:30:08,
54,NA,T,NA,7,NA,7/27/2019 16:30:08,
55,HS,F,F,7,253,7/27/2019 16:30:08,
56,HS,F,F,7,253,7/27/2019 16:30:08,
57,HS,F,F,7,259,7/27/2019 16:30:08,
58,HS,F,F,7,259,7/27/2019 16:30:08,
59,HS,F,F,7,236,7/27/2019 16:30:08,
60,HS,F,F,7,236,7/27/2019 16:30:08,
61,NA,T,NA,7,NA,7/27/2019 16:30:08,
62,NA,T,NA,7,NA,7/27/2019 16:30:08,
63,R,F,F,7,253,7/27/2019 16:30:08,
64,R,F,F,7,253,7/27/2019 16:30:08,
65,R,F,F,7,259,7/27/2019 16:30:08,
66,R,F,F,7,259,7/27/2019 16:30:08,
67,R,F,F,7,236,7/27/2019 16:30:08,
68,NA,T,NA,7,NA,7/27/2019 16:30:08,
69,NA,T,NA,7,NA,7/27/2019 16:30:08,
70,C,F,F,7,253,7/27/2019 16:30:08,
71,C,F,F,7,253,7/27/2019 16:30:08,
72,C,F,F,7,259,7/27/2019 16:30:08,
73,C,F,F,7,259,7/27/2019 16:30:08,
74,C,F,F,7,236,7/27/2019 16:30:08,
75,NA,T,NA,7,NA,7/27/2019 16:30:08,
76,NA,T,NA,7,NA,7/27/2019 16:30:08,
77,NA,T,NA,7,NA,7/27/2019 16:30:08,
78,HS,F,F,7,253,7/27/2019 16:30:08,
79,HS,F,F,7,253,7/27/2019 16:30:08,
80,HS,F,F,7,259,7/27/2019 16:30:08,
81,HS,F,F,7,259,7/27/2019 16:30:08,
82,HS,F,F,7,236,7/27/2019 16:30:08,
83,NA,T,NA,7,NA,7/27/2019 16:30:08,
84,NA,T,NA,7,NA,7/27/2019 16:30:08,
85,NA,T,NA,7,NA,7/27/2019 16:30:08,
86,R,F,F,7,253,7/27/2019 16:30:08,
87,NA,T,NA,7,NA,7/27/2019 16:30:08,
88,R,F,F,7,259,7/27/2019 16:30:08,
89,R,F,F,7,259,7/27/2019 16:30:08,
90,R,F,F,7,236,7/27/2019 16:30:08,
91,NA,T,NA,7,NA,7/27/2019 16:30:08,
92,NA,T,NA,7,NA,7/27/2019 16:30:08,
93,C,F,F,7,253,7/27/2019 16:30:08,
94,C,F,F,7,253,7/27/2019 16:30:08,
95,C,F,F,7,259,7/27/2019 16:30:08,
96,C,F,F,7,259,7/27/2019 16:30:08,
97,C,F,F,7,236,7/27/2019 16:30:08,
98,NA,T,NA,7,NA,7/27/2019 16:30:08,
99,NA,T,NA,7,NA,7/27/2019 16:30:08,
100,NA,T,NA,7,NA,7/27/2019 16:30:08,
101,HS,F,F,7,253,7/27/2019 16:30:08,
102,HS,F,F,7,253,7/27/2019 16:30:08,
103,HS,F,F,7,259,7/27/2019 16:30:08,
104,HS,F,F,7,259,7/27/2019 16:30:08,
105,HS,F,F,7,236,7/27/2019 16:30:08,
106,NA,T,NA,7,NA,7/27/2019 16:30:08,
107,NA,T,NA,7,NA,7/27/2019 16:30:08,
108,NA,T,NA,7,NA,7/27/2019 16:30:08,
109,R,F,F,7,253,7/27/2019 16:30:08,
110,NA,T,NA,7,NA,7/27/2019 16:30:08,
111,R,F,F,7,259,7/27/2019 16:30:08,
112,R,F,F,7,259,7/27/2019 16:30:08,
113,R,F,F,7,236,7/27/2019 16:30:08,
114,NA,T,NA,7,NA,7/27/2019 16:30:08,
115,NA,T,NA,7,NA,7/27/2019 16:30:08,
116,R,F,F,8,239,7/27/2019 16:30:08,
117,R,F,F,8,239,7/27/2019 16:30:08,
118,R,F,F,8,249,7/27/2019 16:30:08,
119,R,F,F,8,249,7/27/2019 16:30:08,
120,R,F,F,8,270,7/27/2019 16:30:08,
121,R,F,F,8,270,7/27/2019 16:30:08,
122,NA,T,NA,8,NA,7/27/2019 16:30:08,
123,NA,T,NA,8,NA,7/27/2019 16:30:08,
124,C,F,F,8,239,7/27/2019 16:30:08,
125,C,F,F,8,239,7/27/2019 16:30:08,
126,C,F,F,8,249,7/27/2019 16:30:08,
127,C,F,F,8,249,7/27/2019 16:30:08,
128,C,F,F,8,270,7/27/2019 16:30:08,
129,C,F,F,8,270,7/27/2019 16:30:08,
130,NA,T,NA,8,NA,7/27/2019 16:30:08,
131,NA,T,NA,8,NA,7/27/2019 16:30:08,
132,HS,F,F,8,239,7/27/2019 16:30:08,
133,HS,F,F,8,239,7/27/2019 16:30:08,
134,HS,F,F,8,249,7/27/2019 16:30:08,
135,HS,F,F,8,249,7/27/2019 16:30:08,
136,HS,F,F,8,270,7/27/2019 16:30:08,
137,HS,F,F,8,270,7/27/2019 16:30:08,
138,NA,NA,NA,8,NA,7/27/2019 16:30:08,
139,R,F,F,8,239,7/27/2019 16:30:08,
140,R,F,F,8,239,7/27/2019 16:30:08,
141,R,F,F,8,249,7/27/2019 16:30:08,
142,R,F,F,8,249,7/27/2019 16:30:08,
143,R,F,F,8,270,7/27/2019 16:30:08,
144,R,F,F,8,270,7/27/2019 16:30:08,
145,NA,NA,NA,8,NA,7/27/2019 16:30:08,
146,NA,NA,NA,8,NA,7/27/2019 16:30:08,
147,C,F,F,8,239,7/27/2019 16:30:08,
148,C,F,F,8,239,7/27/2019 16:30:08,
149,C,F,F,8,249,7/27/2019 16:30:08,
150,C,F,F,8,249,7/27/2019 16:30:08,
151,C,F,F,8,270,7/27/2019 16:30:08,
152,C,F,F,8,270,7/27/2019 16:30:08,
153,NA,T,NA,8,NA,7/27/2019 16:30:08,
154,NA,T,NA,8,NA,7/27/2019 16:30:08,
155,HS,F,F,8,239,7/27/2019 16:30:08,
156,HS,F,F,8,239,7/27/2019 16:30:08,
157,HS,F,F,8,249,7/27/2019 16:30:08,
158,HS,F,F,8,249,7/27/2019 16:30:08,
159,HS,F,F,8,270,7/27/2019 16:30:08,
160,HS,F,F,8,270,7/27/2019 16:30:08,
161,NA,T,NA,8,NA,7/27/2019 16:30:08,
162,R,F,F,8,239,7/27/2019 16:30:08,
163,R,F,F,8,239,7/27/2019 16:30:08,
164,R,F,F,8,249,7/27/2019 16:30:08,
165,R,F,F,8,249,7/27/2019 16:30:08,
166,R,F,F,8,270,7/27/2019 16:30:08,
167,R,F,F,8,270,7/27/2019 16:30:08,
168,NA,T,NA,8,NA,7/27/2019 16:30:08,
169,NA,T,NA,8,NA,7/27/2019 16:30:08,
170,C,F,F,8,239,7/27/2019 16:30:08,
171,C,F,F,8,239,7/27/2019 16:30:08,
172,C,F,F,8,249,7/27/2019 16:30:08,
173,C,F,F,8,249,7/27/2019 16:30:08,
174,C,F,F,8,270,7/27/2019 16:30:08,
175,C,F,F,8,270,7/27/2019 16:30:08,
176,NA,T,NA,8,NA,7/27/2019 16:30:08,
177,NA,T,NA,8,NA,7/27/2019 16:30:08,
178,HS,F,F,8,239,7/27/2019 16:30:08,
179,HS,F,F,8,239,7/27/2019 16:30:08,
180,HS,F,F,8,249,7/27/2019 16:30:08,
181,HS,F,F,8,249,7/27/2019 16:30:08,
182,HS,F,F,8,270,7/27/2019 16:30:08,
183,HS,F,F,8,270,7/27/2019 16:30:08,
184,NA,T,NA,8,NA,7/27/2019 16:30:08,
185,R,F,F,8,239,7/27/2019 16:30:08,
186,R,F,F,8,239,7/27/2019 16:30:08,
187,R,F,F,8,249,7/27/2019 16:30:08,
188,R,F,F,8,249,7/27/2019 16:30:08,
189,R,F,F,8,270,7/27/2019 16:30:08,
190,R,F,F,8,270,7/27/2019 16:30:08,
191,NA,T,NA,8,NA,7/27/2019 16:30:08,
192,NA,T,NA,8,NA,7/27/2019 16:30:08,
193,C,F,F,8,239,7/27/2019 16:30:08,
194,C,F,F,8,239,7/27/2019 16:30:08,
195,C,F,F,8,249,7/27/2019 16:30:08,
196,C,F,F,8,249,7/27/2019 16:30:08,
197,C,F,F,8,270,7/27/2019 16:30:08,
198,C,F,F,8,270,7/27/2019 16:30:08,
199,NA,T,NA,8,NA,7/27/2019 16:30:08,
200,NA,T,NA,8,NA,7/27/2019 16:30:08,
201,HS,F,F,8,239,7/27/2019 16:30:08,
202,HS,F,F,8,239,7/27/2019 16:30:08,
203,HS,F,F,8,249,7/27/2019 16:30:08,
204,HS,F,F,8,249,7/27/2019 16:30:08,
205,HS,F,F,8,270,7/27/2019 16:30:08,
206,HS,F,F,8,270,7/27/2019 16:30:08,
207,NA,T,NA,8,NA,7/27/2019 16:30:08,
208,R,F,F,8,239,7/27/2019 16:30:08,
209,R,F,F,8,239,7/27/2019 16:30:08,
210,R,F,F,8,249,7/27/2019 16:30:08,
211,R,F,F,8,249,7/27/2019 16:30:08,
212,R,F,F,8,270,7/27/2019 16:30:08,
