Well_orderAsTracked,Treatment,Empty,Male,Plate,Family,StartTime,Notes
1,C,F,F,7,197,7/20/2019 17:09:46,
2,C,F,F,7,197,7/20/2019 17:09:46,
3,C,F,F,7,208,7/20/2019 17:09:46,
4,C,F,F,7,208,7/20/2019 17:09:46,
5,C,F,F,7,207,7/20/2019 17:09:46,
6,C,F,F,7,207,7/20/2019 17:09:46,
7,NA,T,NA,7,NA,7/20/2019 17:09:46,
8,NA,T,NA,7,NA,7/20/2019 17:09:46,
9,HS,F,F,7,197,7/20/2019 17:09:46,
10,HS,F,F,7,197,7/20/2019 17:09:46,
11,HS,F,F,7,208,7/20/2019 17:09:46,
12,HS,F,F,7,208,7/20/2019 17:09:46,
13,HS,F,F,7,207,7/20/2019 17:09:46,
14,HS,F,F,7,207,7/20/2019 17:09:46,
15,NA,T,NA,7,NA,7/20/2019 17:09:46,
16,NA,T,NA,7,NA,7/20/2019 17:09:46,
17,R,F,F,7,197,7/20/2019 17:09:46,
18,R,F,F,7,197,7/20/2019 17:09:46,
19,R,F,F,7,208,7/20/2019 17:09:46,
20,R,F,F,7,208,7/20/2019 17:09:46,
21,R,F,F,7,207,7/20/2019 17:09:46,
22,R,F,F,7,207,7/20/2019 17:09:46,
23,NA,T,NA,7,NA,7/20/2019 17:09:46,
24,C,F,F,7,197,7/20/2019 17:09:46,
25,C,F,F,7,197,7/20/2019 17:09:46,
26,C,F,F,7,208,7/20/2019 17:09:46,
27,C,F,F,7,208,7/20/2019 17:09:46,
28,C,F,F,7,207,7/20/2019 17:09:46,
29,C,F,F,7,207,7/20/2019 17:09:46,
30,NA,T,NA,7,NA,7/20/2019 17:09:46,
31,NA,T,NA,7,NA,7/20/2019 17:09:46,
32,HS,F,F,7,197,7/20/2019 17:09:46,
33,HS,F,F,7,197,7/20/2019 17:09:46,
34,HS,F,F,7,208,7/20/2019 17:09:46,
35,HS,F,F,7,208,7/20/2019 17:09:46,
36,HS,F,F,7,207,7/20/2019 17:09:46,
37,HS,F,F,7,207,7/20/2019 17:09:46,
38,NA,T,NA,7,NA,7/20/2019 17:09:46,
39,NA,T,NA,7,NA,7/20/2019 17:09:46,
40,R,F,F,7,197,7/20/2019 17:09:46,
41,R,F,F,7,197,7/20/2019 17:09:46,
42,R,F,F,7,208,7/20/2019 17:09:46,
43,R,F,F,7,208,7/20/2019 17:09:46,
44,R,F,F,7,207,7/20/2019 17:09:46,
45,R,F,F,7,207,7/20/2019 17:09:46,
46,NA,T,NA,7,NA,7/20/2019 17:09:46,
47,C,F,F,7,197,7/20/2019 17:09:46,
48,C,F,F,7,197,7/20/2019 17:09:46,
49,C,F,F,7,208,7/20/2019 17:09:46,
50,C,F,F,7,208,7/20/2019 17:09:46,
51,C,F,F,7,207,7/20/2019 17:09:46,
52,C,F,F,7,207,7/20/2019 17:09:46,
53,NA,T,NA,7,NA,7/20/2019 17:09:46,
54,NA,T,NA,7,NA,7/20/2019 17:09:46,
55,HS,F,F,7,197,7/20/2019 17:09:46,
56,HS,F,F,7,197,7/20/2019 17:09:46,
57,HS,F,F,7,208,7/20/2019 17:09:46,
58,HS,F,F,7,208,7/20/2019 17:09:46,
59,HS,F,F,7,207,7/20/2019 17:09:46,
60,HS,F,F,7,207,7/20/2019 17:09:46,
61,NA,T,NA,7,NA,7/20/2019 17:09:46,
62,NA,T,NA,7,NA,7/20/2019 17:09:46,
63,R,F,F,7,197,7/20/2019 17:09:46,
64,R,F,F,7,197,7/20/2019 17:09:46,
65,R,F,F,7,208,7/20/2019 17:09:46,
66,R,F,F,7,208,7/20/2019 17:09:46,
67,R,F,F,7,207,7/20/2019 17:09:46,
68,R,F,F,7,207,7/20/2019 17:09:46,
69,NA,T,NA,7,NA,7/20/2019 17:09:46,
70,C,F,F,7,197,7/20/2019 17:09:46,
71,C,F,F,7,197,7/20/2019 17:09:46,
72,C,F,F,7,208,7/20/2019 17:09:46,
73,C,F,F,7,208,7/20/2019 17:09:46,
