Well_orderAsTracked,Treatment,Empty,Male,Plate,Family,StartTime,Notes
1,C,F,F,1,128,7/20/2019 17:09:41,Close to edge. Possibly bad qual.
2,C,F,F,1,128,7/20/2019 17:09:41,
3,C,F,F,1,199,7/20/2019 17:09:41,
4,C,F,F,1,199,7/20/2019 17:09:41,
5,C,F,F,1,206,7/20/2019 17:09:41,
6,C,F,F,1,206,7/20/2019 17:09:41,
7,C,F,F,1,206,7/20/2019 17:09:41,
8,NA,T,NA,1,NA,7/20/2019 17:09:41,
9,HS,F,F,1,128,7/20/2019 17:09:41,
10,HS,F,F,1,128,7/20/2019 17:09:41,
11,HS,F,F,1,199,7/20/2019 17:09:41,
12,HS,F,F,1,199,7/20/2019 17:09:41,
13,HS,F,F,1,206,7/20/2019 17:09:41,
14,HS,F,F,1,206,7/20/2019 17:09:41,
15,HS,F,F,1,206,7/20/2019 17:09:41,
16,NA,T,NA,1,NA,7/20/2019 17:09:41,
17,R,F,F,1,128,7/20/2019 17:09:41,
18,R,F,F,1,128,7/20/2019 17:09:41,
19,R,F,F,1,199,7/20/2019 17:09:41,
20,R,F,F,1,199,7/20/2019 17:09:41,
21,R,F,F,1,206,7/20/2019 17:09:41,
22,R,F,F,1,206,7/20/2019 17:09:41,
23,R,F,F,1,206,7/20/2019 17:09:41,
24,C,F,F,1,128,7/20/2019 17:09:41,Close to edge. Possibly bad qual.
25,C,F,F,1,128,7/20/2019 17:09:41,
26,C,F,F,1,199,7/20/2019 17:09:41,
27,C,F,F,1,199,7/20/2019 17:09:41,
28,C,F,F,1,206,7/20/2019 17:09:41,
29,C,F,F,1,206,7/20/2019 17:09:41,
30,C,F,F,1,206,7/20/2019 17:09:41,
31,NA,T,NA,1,NA,7/20/2019 17:09:41,
32,HS,F,F,1,128,7/20/2019 17:09:41,
33,HS,F,F,1,128,7/20/2019 17:09:41,
34,HS,F,F,1,199,7/20/2019 17:09:41,
35,HS,F,F,1,199,7/20/2019 17:09:41,
36,HS,F,F,1,206,7/20/2019 17:09:41,
37,HS,F,F,1,206,7/20/2019 17:09:41,
38,NA,F,F,1,206,7/20/2019 17:09:41,
39,NA,T,NA,1,NA,7/20/2019 17:09:41,
40,R,F,F,1,128,7/20/2019 17:09:41,
41,R,F,F,1,128,7/20/2019 17:09:41,
42,R,F,F,1,199,7/20/2019 17:09:41,
43,R,F,F,1,199,7/20/2019 17:09:41,
44,R,F,F,1,206,7/20/2019 17:09:41,
45,R,F,F,1,206,7/20/2019 17:09:41,
46,R,F,F,1,206,7/20/2019 17:09:41,
47,C,F,F,1,128,7/20/2019 17:09:41,Close to edge. Possibly bad qual.
48,C,F,F,1,128,7/20/2019 17:09:41,
49,C,F,F,1,199,7/20/2019 17:09:41,
50,C,F,F,1,199,7/20/2019 17:09:41,
51,C,F,F,1,206,7/20/2019 17:09:41,
52,C,F,F,1,206,7/20/2019 17:09:41,
53,C,F,F,1,206,7/20/2019 17:09:41,
54,NA,T,NA,1,NA,7/20/2019 17:09:41,
55,HS,F,F,1,128,7/20/2019 17:09:41,
56,HS,F,F,1,128,7/20/2019 17:09:41,
57,HS,F,F,1,199,7/20/2019 17:09:41,
58,HS,F,F,1,199,7/20/2019 17:09:41,
59,HS,F,F,1,206,7/20/2019 17:09:41,
60,HS,F,F,1,206,7/20/2019 17:09:41,
61,HS,F,F,1,206,7/20/2019 17:09:41,
