Well_orderAsTracked,Treatment,Empty,Male,Plate,Family,StartTime,Notes
1,C,F,F,1,209,7/20/2019 17:09:43,
2,C,F,F,1,209,7/20/2019 17:09:43,
3,C,F,F,1,179,7/20/2019 17:09:43,
4,C,F,F,1,179,7/20/2019 17:09:43,
5,C,F,F,1,215,7/20/2019 17:09:43,
6,C,F,F,1,215,7/20/2019 17:09:43,
7,C,F,F,1,215,7/20/2019 17:09:43,
8,NA,T,NA,1,NA,7/20/2019 17:09:43,
9,HS,T,NA,1,NA,7/20/2019 17:09:43,
10,HS,F,F,1,209,7/20/2019 17:09:43,
11,HS,F,F,1,179,7/20/2019 17:09:43,
12,HS,F,F,1,179,7/20/2019 17:09:43,
13,HS,F,F,1,215,7/20/2019 17:09:43,
14,HS,F,F,1,215,7/20/2019 17:09:43,
15,HS,F,F,1,215,7/20/2019 17:09:43,
16,NA,T,NA,1,NA,7/20/2019 17:09:43,
17,R,F,F,1,209,7/20/2019 17:09:43,
18,R,F,F,1,209,7/20/2019 17:09:43,
19,R,F,F,1,179,7/20/2019 17:09:43,
20,R,F,F,1,179,7/20/2019 17:09:43,
21,R,F,F,1,215,7/20/2019 17:09:43,
22,R,F,F,1,215,7/20/2019 17:09:43,
23,R,F,F,1,215,7/20/2019 17:09:43,
24,C,F,F,1,209,7/20/2019 17:09:43,
25,C,F,F,4,209,7/20/2019 17:09:43,
26,C,F,F,4,179,7/20/2019 17:09:43,
27,C,F,F,4,179,7/20/2019 17:09:43,
28,C,F,F,4,215,7/20/2019 17:09:43,
29,C,F,F,4,215,7/20/2019 17:09:43,
30,C,F,F,4,215,7/20/2019 17:09:43,
31,NA,T,NA,4,NA,7/20/2019 17:09:43,
32,HS,F,F,4,209,7/20/2019 17:09:43,
33,HS,F,F,4,209,7/20/2019 17:09:43,
34,HS,F,F,4,179,7/20/2019 17:09:43,
35,HS,F,F,4,179,7/20/2019 17:09:43,
36,HS,F,F,4,215,7/20/2019 17:09:43,
37,HS,F,F,4,215,7/20/2019 17:09:43,
38,HS,F,F,4,215,7/20/2019 17:09:43,
39,NA,T,NA,4,NA,7/20/2019 17:09:43,
40,R,F,F,4,209,7/20/2019 17:09:43,
41,R,F,F,4,209,7/20/2019 17:09:43,
42,R,F,F,4,179,7/20/2019 17:09:43,
43,R,F,F,4,179,7/20/2019 17:09:43,
44,R,F,F,4,215,7/20/2019 17:09:43,
45,R,F,F,4,215,7/20/2019 17:09:43,
46,R,F,F,4,215,7/20/2019 17:09:43,
47,C,F,F,4,209,7/20/2019 17:09:43,
48,C,F,F,4,209,7/20/2019 17:09:43,
49,C,F,F,4,179,7/20/2019 17:09:43,
50,C,F,F,4,179,7/20/2019 17:09:43,
51,C,F,F,4,215,7/20/2019 17:09:43,
52,C,F,F,4,215,7/20/2019 17:09:43,
53,C,F,F,4,215,7/20/2019 17:09:43,
54,NA,T,NA,4,NA,7/20/2019 17:09:43,
55,HS,F,F,4,209,7/20/2019 17:09:43,
56,HS,F,F,4,209,7/20/2019 17:09:43,
57,HS,F,F,4,179,7/20/2019 17:09:43,
58,HS,F,F,4,179,7/20/2019 17:09:43,
59,HS,F,F,4,215,7/20/2019 17:09:43,
60,HS,F,F,4,215,7/20/2019 17:09:43,
61,HS,F,F,4,215,7/20/2019 17:09:43,
62,NA,T,NA,4,NA,7/20/2019 17:09:43,
63,R,F,F,4,209,7/20/2019 17:09:43,
64,R,F,F,4,209,7/20/2019 17:09:43,
65,R,F,F,4,179,7/20/2019 17:09:43,
66,R,F,F,4,179,7/20/2019 17:09:43,
67,R,F,F,4,215,7/20/2019 17:09:43,
68,R,F,F,4,215,7/20/2019 17:09:43,
69,R,F,F,4,215,7/20/2019 17:09:43,
70,C,F,F,4,209,7/20/2019 17:09:43,
71,C,F,F,4,209,7/20/2019 17:09:43,
72,C,F,F,4,179,7/20/2019 17:09:43,
73,C,F,F,4,179,7/20/2019 17:09:43,
74,C,F,F,4,215,7/20/2019 17:09:43,
75,C,F,F,4,215,7/20/2019 17:09:43,
76,NA,T,NA,4,NA,7/20/2019 17:09:43,
77,NA,T,NA,4,NA,7/20/2019 17:09:43,
78,HS,F,F,4,209,7/20/2019 17:09:43,
79,HS,F,F,4,209,7/20/2019 17:09:43,
80,HS,F,F,4,179,7/20/2019 17:09:43,
81,HS,F,F,4,179,7/20/2019 17:09:43,
82,HS,F,F,4,215,7/20/2019 17:09:43,
83,HS,F,F,4,215,7/20/2019 17:09:43,
84,NA,T,NA,4,NA,7/20/2019 17:09:43,
85,NA,T,NA,4,NA,7/20/2019 17:09:43,
86,R,F,F,4,209,7/20/2019 17:09:43,
87,R,F,F,4,209,7/20/2019 17:09:43,
88,R,F,F,4,179,7/20/2019 17:09:43,
89,R,F,F,4,179,7/20/2019 17:09:43,
90,R,F,F,4,215,7/20/2019 17:09:43,
91,R,F,F,4,215,7/20/2019 17:09:43,
92,NA,T,NA,4,NA,7/20/2019 17:09:43,
93,C,F,F,4,209,7/20/2019 17:09:43,
94,C,F,F,4,209,7/20/2019 17:09:43,
95,C,F,F,4,179,7/20/2019 17:09:43,
96,C,F,F,4,179,7/20/2019 17:09:43,
97,C,F,F,4,215,7/20/2019 17:09:43,
98,C,F,F,4,215,7/20/2019 17:09:43,
99,NA,T,NA,4,NA,7/20/2019 17:09:43,
100,NA,T,NA,4,NA,7/20/2019 17:09:43,
101,HS,F,F,4,209,7/20/2019 17:09:43,
102,HS,F,F,4,209,7/20/2019 17:09:43,
103,HS,F,F,4,179,7/20/2019 17:09:43,
104,HS,F,F,4,179,7/20/2019 17:09:43,
105,HS,F,F,4,215,7/20/2019 17:09:43,
106,HS,F,F,4,215,7/20/2019 17:09:43,
107,NA,T,NA,4,NA,7/20/2019 17:09:43,
108,NA,T,NA,4,NA,7/20/2019 17:09:43,
109,R,F,F,4,209,7/20/2019 17:09:43,
110,R,F,F,4,209,7/20/2019 17:09:43,
111,R,F,F,4,179,7/20/2019 17:09:43,
112,R,F,F,4,179,7/20/2019 17:09:43,
113,R,F,F,4,215,7/20/2019 17:09:43,
114,R,F,F,4,215,7/20/2019 17:09:43,
115,NA,T,NA,4,NA,7/20/2019 17:09:43,
116,R,F,F,5,158,7/20/2019 17:09:43,
117,R,F,F,5,158,7/20/2019 17:09:43,
118,R,T,F,5,159,7/20/2019 17:09:43,2 Flies
119,R,F,F,5,159,7/20/2019 17:09:43,
120,R,F,F,5,151,7/20/2019 17:09:43,
121,R,F,F,5,151,7/20/2019 17:09:43,
122,NA,T,NA,5,NA,7/20/2019 17:09:43,
123,NA,T,NA,5,NA,7/20/2019 17:09:43,
124,C,F,F,5,158,7/20/2019 17:09:43,
125,C,F,F,5,158,7/20/2019 17:09:43,
126,C,F,F,5,159,7/20/2019 17:09:43,
127,C,F,F,5,159,7/20/2019 17:09:43,
128,C,F,F,5,151,7/20/2019 17:09:43,
129,C,F,F,5,151,7/20/2019 17:09:43,
130,NA,T,NA,5,NA,7/20/2019 17:09:43,
131,NA,T,NA,5,NA,7/20/2019 17:09:43,
132,HS,F,F,5,158,7/20/2019 17:09:43,
133,HS,F,F,5,158,7/20/2019 17:09:43,
134,HS,F,F,5,159,7/20/2019 17:09:43,
