Well_orderAsTracked,Treatment,Empty,Male,Plate,Family,StartTime,Notes
1,C,F,F,7,109,7/17/2019 18:22:18,
2,C,F,F,7,109,7/17/2019 18:22:18,
3,C,F,F,7,113,7/17/2019 18:22:18,
4,C,F,F,7,113,7/17/2019 18:22:18,
5,C,F,F,7,115,7/17/2019 18:22:18,
6,NA,T,NA,7,NA,7/17/2019 18:22:18,
7,NA,T,NA,7,NA,7/17/2019 18:22:18,
8,NA,T,NA,7,NA,7/17/2019 18:22:18,
9,HS,F,F,7,109,7/17/2019 18:22:18,
10,HS,F,F,7,109,7/17/2019 18:22:18,
11,HS,F,F,7,113,7/17/2019 18:22:18,
12,HS,F,F,7,113,7/17/2019 18:22:18,
13,HS,F,F,7,115,7/17/2019 18:22:18,
14,NA,T,NA,7,NA,7/17/2019 18:22:18,
15,NA,T,NA,7,NA,7/17/2019 18:22:18,
16,NA,T,NA,7,NA,7/17/2019 18:22:18,
17,R,F,F,7,109,7/17/2019 18:22:18,
18,R,F,F,7,109,7/17/2019 18:22:18,
19,R,F,F,7,113,7/17/2019 18:22:18,
20,R,F,F,7,113,7/17/2019 18:22:18,
21,R,F,F,7,115,7/17/2019 18:22:18,
22,NA,T,NA,7,NA,7/17/2019 18:22:18,
23,NA,T,NA,7,NA,7/17/2019 18:22:18,
24,C,F,F,7,109,7/17/2019 18:22:18,
25,C,F,F,7,109,7/17/2019 18:22:18,
26,C,F,F,7,113,7/17/2019 18:22:18,
27,C,F,F,7,113,7/17/2019 18:22:18,
28,C,F,F,7,115,7/17/2019 18:22:18,
29,NA,T,NA,7,NA,7/17/2019 18:22:18,
30,NA,T,NA,7,NA,7/17/2019 18:22:18,
31,NA,T,NA,7,NA,7/17/2019 18:22:18,
32,HS,F,F,7,109,7/17/2019 18:22:18,
33,HS,F,F,7,109,7/17/2019 18:22:18,
34,HS,F,F,7,113,7/17/2019 18:22:18,
35,HS,F,F,7,113,7/17/2019 18:22:18,
36,HS,F,F,7,115,7/17/2019 18:22:18,
37,HS,T,NA,7,NA,7/17/2019 18:22:18,
38,NA,T,NA,7,NA,7/17/2019 18:22:18,
39,NA,T,NA,7,NA,7/17/2019 18:22:18,
40,R,F,F,7,109,7/17/2019 18:22:18,
41,NA,T,NA,7,NA,7/17/2019 18:22:18,
42,R,F,F,7,113,7/17/2019 18:22:18,
43,R,F,F,7,113,7/17/2019 18:22:18,
44,R,F,F,7,115,7/17/2019 18:22:18,
45,NA,T,NA,7,NA,7/17/2019 18:22:18,
46,NA,T,NA,7,NA,7/17/2019 18:22:18,
47,C,F,F,7,109,7/17/2019 18:22:18,
48,C,F,F,7,109,7/17/2019 18:22:18,
49,C,F,F,7,113,7/17/2019 18:22:18,
50,C,F,F,7,113,7/17/2019 18:22:18,
51,C,F,F,7,115,7/17/2019 18:22:18,
52,NA,T,NA,7,NA,7/17/2019 18:22:18,
53,NA,T,NA,7,NA,7/17/2019 18:22:18,
54,NA,T,NA,7,NA,7/17/2019 18:22:18,
55,HS,F,F,7,109,7/17/2019 18:22:18,
56,HS,F,F,7,109,7/17/2019 18:22:18,
57,HS,F,F,7,113,7/17/2019 18:22:18,
58,HS,F,F,7,113,7/17/2019 18:22:18,
59,HS,F,F,7,115,7/17/2019 18:22:18,
60,NA,T,NA,7,NA,7/17/2019 18:22:18,
61,NA,T,NA,7,NA,7/17/2019 18:22:18,
62,NA,T,NA,7,NA,7/17/2019 18:22:18,
63,R,F,F,7,109,7/17/2019 18:22:18,
64,NA,T,NA,7,NA,7/17/2019 18:22:18,
65,R,F,F,7,113,7/17/2019 18:22:18,
66,R,F,F,7,113,7/17/2019 18:22:18,
67,R,F,F,7,115,7/17/2019 18:22:18,
68,NA,T,NA,7,NA,7/17/2019 18:22:18,
69,NA,T,NA,7,NA,7/17/2019 18:22:18,
70,C,F,F,7,109,7/17/2019 18:22:18,
71,C,F,F,7,109,7/17/2019 18:22:18,
72,C,F,F,7,113,7/17/2019 18:22:18,
73,C,F,F,7,113,7/17/2019 18:22:18,
74,C,F,F,7,115,7/17/2019 18:22:18,
75,NA,T,NA,7,NA,7/17/2019 18:22:18,
76,NA,T,NA,7,NA,7/17/2019 18:22:18,
77,NA,T,NA,7,NA,7/17/2019 18:22:18,
78,HS,F,F,7,109,7/17/2019 18:22:18,
79,HS,F,F,7,109,7/17/2019 18:22:18,
80,HS,F,F,7,113,7/17/2019 18:22:18,
81,HS,F,F,7,113,7/17/2019 18:22:18,
82,HS,F,F,7,115,7/17/2019 18:22:18,
83,NA,T,NA,7,NA,7/17/2019 18:22:18,
84,NA,T,NA,7,NA,7/17/2019 18:22:18,
85,NA,T,NA,7,NA,7/17/2019 18:22:18,
86,R,F,F,7,109,7/17/2019 18:22:18,
87,NA,T,NA,7,NA,7/17/2019 18:22:18,
88,R,F,F,7,113,7/17/2019 18:22:18,
89,R,F,F,7,113,7/17/2019 18:22:18,
90,R,F,F,7,115,7/17/2019 18:22:18,
91,NA,T,NA,7,NA,7/17/2019 18:22:18,
92,NA,T,NA,7,NA,7/17/2019 18:22:18,
93,C,F,F,7,109,7/17/2019 18:22:18,
94,C,F,F,7,109,7/17/2019 18:22:18,
95,C,F,F,7,113,7/17/2019 18:22:18,
96,C,F,F,7,113,7/17/2019 18:22:18,
97,C,F,F,7,115,7/17/2019 18:22:18,
98,NA,T,NA,7,NA,7/17/2019 18:22:18,
99,NA,T,NA,7,NA,7/17/2019 18:22:18,
100,NA,T,NA,7,NA,7/17/2019 18:22:18,
101,HS,F,F,7,109,7/17/2019 18:22:18,
102,HS,F,F,7,109,7/17/2019 18:22:18,
103,HS,F,F,7,113,7/17/2019 18:22:18,
104,HS,F,F,7,113,7/17/2019 18:22:18,
105,HS,F,F,7,115,7/17/2019 18:22:18,
106,NA,T,NA,7,NA,7/17/2019 18:22:18,
107,NA,T,NA,7,NA,7/17/2019 18:22:18,
108,NA,T,NA,7,NA,7/17/2019 18:22:18,
109,R,F,F,7,109,7/17/2019 18:22:18,
110,NA,T,NA,7,NA,7/17/2019 18:22:18,
111,R,F,F,7,113,7/17/2019 18:22:18,
112,R,F,F,7,113,7/17/2019 18:22:18,
113,R,F,F,7,115,7/17/2019 18:22:18,
114,NA,T,NA,7,NA,7/17/2019 18:22:18,
115,NA,T,NA,7,NA,7/17/2019 18:22:18,
116,R,F,F,8,105,7/17/2019 18:22:18,
117,R,F,F,8,105,7/17/2019 18:22:18,
118,R,F,F,8,117,7/17/2019 18:22:18,
119,R,F,F,8,117,7/17/2019 18:22:18,
120,R,F,F,8,118,7/17/2019 18:22:18,
121,R,F,F,8,118,7/17/2019 18:22:18,
122,NA,T,NA,8,NA,7/17/2019 18:22:18,
123,NA,T,NA,8,NA,7/17/2019 18:22:18,
124,C,F,F,8,105,7/17/2019 18:22:18,
125,C,F,F,8,105,7/17/2019 18:22:18,
126,C,F,F,8,117,7/17/2019 18:22:18,
127,C,F,F,8,117,7/17/2019 18:22:18,
128,C,F,F,8,118,7/17/2019 18:22:18,
129,C,F,F,8,118,7/17/2019 18:22:18,
130,NA,T,NA,8,NA,7/17/2019 18:22:18,
131,NA,T,NA,8,NA,7/17/2019 18:22:18,
132,HS,F,F,8,105,7/17/2019 18:22:18,
133,HS,F,F,8,105,7/17/2019 18:22:18,
134,HS,F,F,8,117,7/17/2019 18:22:18,
135,HS,F,F,8,117,7/17/2019 18:22:18,
136,HS,F,F,8,118,7/17/2019 18:22:18,
137,HS,F,F,8,118,7/17/2019 18:22:18,
138,NA,NA,NA,8,NA,7/17/2019 18:22:18,
139,R,F,F,8,105,7/17/2019 18:22:18,
140,R,F,F,8,105,7/17/2019 18:22:18,
141,R,F,F,8,117,7/17/2019 18:22:18,
142,R,F,F,8,117,7/17/2019 18:22:18,
143,R,F,F,8,118,7/17/2019 18:22:18,
144,R,F,F,8,118,7/17/2019 18:22:18,
145,NA,NA,NA,8,NA,7/17/2019 18:22:18,
146,NA,NA,NA,8,NA,7/17/2019 18:22:18,
147,C,F,F,8,105,7/17/2019 18:22:18,
148,C,F,F,8,105,7/17/2019 18:22:18,
149,C,F,F,8,117,7/17/2019 18:22:18,
150,C,F,F,8,117,7/17/2019 18:22:18,
151,C,F,F,8,118,7/17/2019 18:22:18,
152,C,F,F,8,118,7/17/2019 18:22:18,
153,NA,T,NA,8,NA,7/17/2019 18:22:18,
154,NA,T,NA,8,NA,7/17/2019 18:22:18,
155,HS,F,F,8,105,7/17/2019 18:22:18,
156,HS,F,F,8,105,7/17/2019 18:22:18,
157,HS,F,F,8,117,7/17/2019 18:22:18,
158,NA,T,NA,8,NA,7/17/2019 18:22:18,
159,HS,F,F,8,118,7/17/2019 18:22:18,
160,HS,F,F,8,118,7/17/2019 18:22:18,
161,NA,T,NA,8,NA,7/17/2019 18:22:18,
162,R,F,F,8,105,7/17/2019 18:22:18,
163,R,F,F,8,105,7/17/2019 18:22:18,
164,R,F,F,8,117,7/17/2019 18:22:18,
165,NA,T,NA,8,NA,7/17/2019 18:22:18,
166,R,F,F,8,118,7/17/2019 18:22:18,
167,R,F,F,8,118,7/17/2019 18:22:18,
168,NA,T,NA,8,NA,7/17/2019 18:22:18,
169,NA,T,NA,8,NA,7/17/2019 18:22:18,
170,C,F,F,8,105,7/17/2019 18:22:18,
171,NA,T,NA,8,NA,7/17/2019 18:22:18,
172,C,F,F,8,117,7/17/2019 18:22:18,
173,NA,T,NA,8,NA,7/17/2019 18:22:18,
174,C,F,F,8,118,7/17/2019 18:22:18,
175,C,F,F,8,118,7/17/2019 18:22:18,
176,NA,T,NA,8,NA,7/17/2019 18:22:18,
177,NA,T,NA,8,NA,7/17/2019 18:22:18,
