Well_orderAsTracked,Treatment,Empty,Male,Plate,Family,Notes
72,C,F,F,7,113,
73,C,F,F,7,113,
74,C,F,F,7,115,
75,NA,T,NA,7,NA,
76,NA,T,NA,7,NA,
77,NA,T,NA,7,NA,
78,HS,F,F,7,109,
79,HS,F,F,7,109,
80,HS,F,F,7,113,
81,HS,F,F,7,113,
82,HS,F,F,7,115,
83,NA,T,NA,7,NA,
84,NA,T,NA,7,NA,
85,NA,T,NA,7,NA,
86,R,F,F,7,109,
87,NA,T,NA,7,NA,
88,R,F,F,7,113,
89,R,F,F,7,113,
90,R,F,F,7,115,
91,NA,T,NA,7,NA,
92,NA,T,NA,7,NA,
93,C,F,F,7,109,
94,C,F,F,7,109,
95,C,F,F,7,113,
96,C,F,F,7,113,
97,C,F,F,7,115,
98,NA,T,NA,7,NA,
99,NA,T,NA,7,NA,
100,NA,T,NA,7,NA,
101,HS,F,F,7,109,
102,HS,F,F,7,109,
103,HS,F,F,7,113,
104,HS,F,F,7,113,
105,HS,F,F,7,115,
106,NA,T,NA,7,NA,
107,NA,T,NA,7,NA,
108,NA,T,NA,7,NA,
109,R,F,F,7,109,
110,NA,T,NA,7,NA,
111,R,F,F,7,113,
112,R,F,F,7,113,
113,R,F,F,7,115,
114,NA,T,NA,7,NA,
115,NA,T,NA,7,NA,
116,R,F,F,8,105,
117,R,F,F,8,105,
118,R,F,F,8,117,
119,R,F,F,8,117,
120,R,F,F,8,118,
121,R,F,F,8,118,
122,NA,T,NA,8,NA,
123,NA,T,NA,8,NA,
124,C,F,F,8,105,
125,C,F,F,8,105,
126,C,F,F,8,117,
127,C,F,F,8,117,
128,C,F,F,8,118,
129,C,F,F,8,118,
130,NA,T,NA,8,NA,
131,NA,T,NA,8,NA,
132,HS,F,F,8,105,
133,HS,F,F,8,105,
134,HS,F,F,8,117,
135,HS,F,F,8,117,
136,HS,F,F,8,118,
137,HS,F,F,8,118,
138,NA,NA,NA,8,NA,
139,R,F,F,8,105,
140,R,F,F,8,105,
141,R,F,F,8,117,
142,R,F,F,8,117,
143,R,F,F,8,118,
144,R,F,F,8,118,
145,NA,NA,NA,8,NA,
146,NA,NA,NA,8,NA,
147,C,F,F,8,105,
148,C,F,F,8,105,
149,C,F,F,8,117,
150,C,F,F,8,117,
151,C,F,F,8,118,
152,C,F,F,8,118,
153,NA,T,NA,8,NA,
154,NA,T,NA,8,NA,
155,HS,F,F,8,105,
156,HS,F,F,8,105,
157,HS,F,F,8,117,
158,NA,T,NA,8,NA,
159,HS,F,F,8,118,
160,HS,F,F,8,118,
161,NA,T,NA,8,NA,
162,R,F,F,8,105,
163,R,F,F,8,105,
164,R,F,F,8,117,
165,NA,T,NA,8,NA,
166,R,F,F,8,118,
167,R,F,F,8,118,
168,NA,T,NA,8,NA,
169,NA,T,NA,8,NA,
170,C,F,F,8,105,
171,NA,T,NA,8,NA,
172,C,F,F,8,117,
173,NA,T,NA,8,NA,
174,C,F,F,8,118,
175,C,F,F,8,118,
176,NA,T,NA,8,NA,
177,NA,T,NA,8,NA,
178,HS,F,F,8,105,
179,NA,T,NA,8,NA,
180,HS,F,F,8,117,
181,NA,T,NA,8,NA,
182,HS,F,F,8,118,
183,HS,F,F,8,118,
184,NA,T,NA,8,NA,
185,R,F,F,8,105,
186,NA,T,NA,8,NA,
187,R,F,F,8,117,
188,NA,T,NA,8,NA,
189,R,F,F,8,118,
190,R,F,F,8,118,
191,NA,T,NA,8,NA,
192,NA,T,NA,8,NA,
193,C,F,F,8,105,
194,NA,T,NA,8,NA,
195,C,F,F,8,117,
196,NA,T,NA,8,NA,
197,C,F,F,8,118,
198,C,F,F,8,118,
199,NA,T,NA,8,NA,
200,NA,T,NA,8,NA,
201,HS,F,F,8,105,
202,HS,T,F,8,NA,
203,HS,F,F,8,117,
204,NA,T,NA,8,NA,
205,HS,F,F,8,118,
206,HS,F,F,8,118,
207,NA,T,NA,8,NA,
208,R,F,F,8,105,
209,NA,T,NA,8,NA,
210,R,F,F,8,117,
211,NA,T,NA,8,NA,
212,R,F,F,8,118,
213,R,F,F,8,118,
214,NA,T,NA,8,NA,
215,NA,T,NA,8,NA,
216,C,F,F,8,105,
217,NA,T,NA,8,NA,
218,C,F,F,8,117,
219,NA,T,NA,8,NA,
220,C,F,F,8,118,
221,C,F,F,8,118,
222,NA,T,NA,8,NA,
223,NA,T,NA,8,NA,
224,HS,F,F,8,105,
225,HS,T,NA,8,NA,
226,HS,F,F,8,117,
227,HS,T,NA,8,NA,
228,HS,F,F,8,118,
229,HS,F,F,8,118,
230,NA,T,NA,8,NA,
231,HS,F,F,9,108,
232,HS,F,F,9,108,
233,HS,F,F,9,111,
234,HS,F,F,9,111,
235,HS,F,F,9,116,
236,HS,F,F,9,116,
237,NA,T,NA,9,NA,
238,NA,T,NA,9,NA,
239,R,F,F,9,108,
240,R,F,F,9,108,
241,R,F,F,9,111,
242,R,F,F,9,111,
243,R,F,F,9,116,
244,R,F,F,9,116,
245,NA,T,NA,9,NA,
246,NA,T,NA,9,NA,
247,C,F,F,9,108,
248,C,F,F,9,108,
249,C,F,F,9,111,
250,C,F,F,9,111,
251,C,F,F,9,116,
252,C,F,F,9,116,
253,NA,T,NA,9,NA,
254,HS,F,F,9,108,
255,HS,F,F,9,108,
256,HS,F,F,9,111,
257,HS,F,F,9,111,
258,HS,F,F,9,116,
259,HS,F,F,9,116,
260,NA,T,NA,9,NA,
261,NA,T,NA,9,NA,
262,R,F,F,9,108,
263,R,F,F,9,108,
264,R,F,F,9,111,
265,R,F,F,9,111,
266,R,F,F,9,116,
267,R,F,F,9,116,
268,NA,T,NA,9,NA,
269,NA,T,NA,9,NA,
270,C,F,F,9,108,
271,C,F,F,9,108,
272,C,F,F,9,111,
273,C,F,F,9,111,
274,C,F,F,9,116,
275,C,F,F,9,116,
276,NA,T,NA,9,NA,
277,HS,F,F,9,108,
278,HS,F,F,9,108,
279,HS,F,F,9,111,
280,HS,F,F,9,111,
281,HS,F,F,9,116,
282,HS,F,F,9,116,
283,NA,T,NA,9,NA,
284,NA,T,NA,9,NA,
285,R,F,F,9,108,
286,R,F,F,9,108,
287,R,F,F,9,111,
288,R,F,F,9,111,
289,R,F,F,9,116,
290,R,F,F,9,116,
291,NA,T,NA,9,NA,
292,NA,T,NA,9,NA,
293,C,F,F,9,108,
294,C,F,F,9,108,
295,C,F,F,9,111,
296,C,F,F,9,111,
297,C,F,F,9,116,
298,C,F,F,9,116,
299,NA,T,NA,9,NA,
300,HS,F,F,9,108,
301,HS,F,F,9,108,
302,HS,F,F,9,111,
303,NA,T,NA,9,NA,
304,HS,F,F,9,116,
305,HS,F,F,9,116,
306,NA,T,NA,9,NA,
307,NA,T,NA,9,NA,
308,R,F,F,9,108,
309,R,F,F,9,108,
310,R,F,F,9,111,
311,R,T,F,9,NA,
312,R,F,F,9,116,
313,R,F,F,9,116,
314,NA,T,NA,9,NA,
315,NA,T,NA,9,NA,
316,C,F,F,9,108,
317,C,F,F,9,108,
318,C,F,F,9,111,
319,NA,T,NA,9,NA,
320,C,F,F,9,116,
321,NA,T,NA,9,NA,
322,NA,T,NA,9,NA,
323,HS,F,F,9,108,
324,HS,F,F,9,108,
325,HS,F,F,9,111,
326,NA,T,NA,9,NA,
327,HS,F,F,9,116,
328,NA,T,NA,9,NA,
329,NA,T,NA,9,NA,
330,NA,T,NA,9,NA,
331,R,F,F,9,108,
332,R,F,F,9,108,
333,R,F,F,9,111,
334,NA,T,NA,9,NA,
335,R,F,F,9,116,
336,NA,T,NA,9,NA,
337,NA,T,NA,9,NA,
338,NA,T,NA,9,NA,
339,C,F,F,9,108,
340,C,F,F,9,108,
341,C,F,F,9,111,
342,NA,T,NA,9,NA,
343,C,F,F,9,116,
344,NA,T,NA,9,NA,
345,NA,T,NA,9,NA,
