Well_orderAsTracked,Treatment,Empty,Male,Plate,Family,Notes
1,C,F,F,7,109,
2,C,F,F,7,109,
3,C,F,F,7,113,
4,C,F,F,7,113,
5,C,F,F,7,115,
6,NA,T,NA,7,NA,
7,NA,T,NA,7,NA,
8,NA,T,NA,7,NA,
9,HS,F,F,7,109,
10,HS,F,F,7,109,
11,HS,F,F,7,113,
12,HS,F,F,7,113,
13,HS,F,F,7,115,
14,NA,T,NA,7,NA,
15,NA,T,NA,7,NA,
16,NA,T,NA,7,NA,
17,R,F,F,7,109,
18,R,F,F,7,109,
19,R,F,F,7,113,
20,R,F,F,7,113,
21,R,F,F,7,115,
22,NA,T,NA,7,NA,
23,NA,T,NA,7,NA,
24,C,F,F,7,109,
25,C,F,F,7,109,
26,C,F,F,7,113,
27,C,F,F,7,113,
28,C,F,F,7,115,
29,NA,T,NA,7,NA,
30,NA,T,NA,7,NA,
31,NA,T,NA,7,NA,
32,HS,F,F,7,109,
33,HS,F,F,7,109,
34,HS,F,F,7,113,
35,HS,F,F,7,113,
36,HS,F,F,7,115,
37,HS,T,NA,7,NA,
38,NA,T,NA,7,NA,
39,NA,T,NA,7,NA,
40,R,F,F,7,109,
41,NA,T,NA,7,NA,
42,R,F,F,7,113,
43,R,F,F,7,113,
44,R,F,F,7,115,
45,NA,T,NA,7,NA,
46,NA,T,NA,7,NA,
47,C,F,F,7,109,
48,C,F,F,7,109,
49,C,F,F,7,113,
50,C,F,F,7,113,
51,C,F,F,7,115,
52,NA,T,NA,7,NA,
53,NA,T,NA,7,NA,
54,NA,T,NA,7,NA,
55,HS,F,F,7,109,
56,HS,F,F,7,109,
57,HS,F,F,7,113,
58,HS,F,F,7,113,
59,HS,F,F,7,115,
60,NA,T,NA,7,NA,
61,NA,T,NA,7,NA,
62,NA,T,NA,7,NA,
63,R,F,F,7,109,
64,NA,T,NA,7,NA,
65,R,F,F,7,113,
66,R,F,F,7,113,
67,R,F,F,7,115,
68,NA,T,NA,7,NA,
69,NA,T,NA,7,NA,
70,C,F,F,7,109,
71,C,F,F,7,109,
