Well_orderAsTracked,Treatment,Empty,Male,Plate,Family,Notes
1,C,F,F,1,128,Close to edge. Possibly bad qual.
2,C,F,F,1,128,
3,C,F,F,1,199,
4,C,F,F,1,199,
5,C,F,F,1,206,
6,C,F,F,1,206,
7,C,F,F,1,206,
8,NA,T,NA,1,NA,
9,HS,F,F,1,128,
10,HS,F,F,1,128,
11,HS,F,F,1,199,
12,HS,F,F,1,199,
13,HS,F,F,1,206,
14,HS,F,F,1,206,
15,HS,F,F,1,206,
16,NA,T,NA,1,NA,
17,R,F,F,1,128,
18,R,F,F,1,128,
19,R,F,F,1,199,
20,R,F,F,1,199,
21,R,F,F,1,206,
22,R,F,F,1,206,
23,R,F,F,1,206,
24,C,F,F,1,128,Close to edge. Possibly bad qual.
25,C,F,F,1,128,
26,C,F,F,1,199,
27,C,F,F,1,199,
28,C,F,F,1,206,
29,C,F,F,1,206,
30,C,F,F,1,206,
31,NA,T,NA,1,NA,
32,HS,F,F,1,128,
33,HS,F,F,1,128,
34,HS,F,F,1,199,
35,HS,F,F,1,199,
36,HS,F,F,1,206,
37,HS,F,F,1,206,
38,NA,F,F,1,206,
39,NA,T,NA,1,NA,
40,R,F,F,1,128,
41,R,F,F,1,128,
42,R,F,F,1,199,
43,R,F,F,1,199,
44,R,F,F,1,206,
45,R,F,F,1,206,
46,R,F,F,1,206,
47,C,F,F,1,128,Close to edge. Possibly bad qual.
48,C,F,F,1,128,
49,C,F,F,1,199,
50,C,F,F,1,199,
51,C,F,F,1,206,
52,C,F,F,1,206,
53,C,F,F,1,206,
54,NA,T,NA,1,NA,
55,HS,F,F,1,128,
56,HS,F,F,1,128,
57,HS,F,F,1,199,
58,HS,F,F,1,199,
59,HS,F,F,1,206,
60,HS,F,F,1,206,
61,HS,F,F,1,206,
62,NA,T,NA,1,NA,
63,R,F,F,1,128,
64,R,F,F,1,128,
65,R,F,F,1,199,
66,R,F,F,1,199,
67,R,F,F,1,206,
68,R,F,F,1,206,
69,R,F,F,1,206,
70,C,F,F,1,128,Close to edge. Possibly bad qual.
71,C,F,F,1,128,
72,C,F,F,1,199,
73,C,F,F,1,199,
74,C,F,F,1,206,
75,C,F,F,1,206,
76,C,F,F,1,206,
77,NA,T,NA,1,NA,
78,HS,F,F,1,128,
79,HS,F,F,1,128,
80,HS,F,F,1,199,
81,HS,F,F,1,199,
82,HS,F,F,1,206,
83,HS,F,F,1,206,
84,HS,F,F,1,206,
85,NA,T,NA,1,NA,
86,R,F,F,1,128,
87,R,F,F,1,128,
88,R,F,F,1,199,
89,R,F,F,1,199,
90,R,F,F,1,206,
91,R,F,F,1,206,
92,R,F,F,1,206,
93,C,F,F,1,128,Close to edge. Possibly bad qual.
94,C,F,F,1,128,
95,C,F,F,1,199,
96,C,F,F,1,199,
97,C,F,F,1,206,
98,C,F,F,1,206,
99,C,F,F,1,206,
100,NA,T,NA,1,NA,
